所管,組織,,,,,,,,,                        項目,平成31年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
,,,95,012,2,12,3,09,,情報処理業務庁費,"1,826,743","1,827,897","△ 1,154"
,,,95,012,2,12,3,09,,議員会館管理等運営庁費,"3,467,376","3,452,645","14,731"
,,,95,012,2,12,3,09,,議員特殊乗車券等購入費,"903,663","873,472","30,191"
,,,95,012,2,12,3,09,,国会活動啓発費,"22,834","22,606",228
,,,95,012,2,12,3,09,,議案類印刷費,"657,203","695,549","△ 38,346"
,,,95,012,2,12,3,09,,招へい外国人滞在費,"72,925","72,256",669
,,,95,012,2,12,3,09,,各所修繕,"77,930","78,117",△ 187
,,,95,012,2,12,3,09,,国政調査活動費,"362,273","361,034","1,239"
,,,95,012,2,12,3,09,,公共施設等維持管理運営費,"3,337,436","3,494,801","△ 157,365"
,,,95,199,2,13,3,09,,自動車重量税,"1,133","1,417",△ 284
,,,95,012,2,12,3,11,,立法事務費,"3,627,000","3,627,000",0
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"2,402,803","2,399,637","3,166"
,,,95,012,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"566,811","532,198","34,613"
,,,95,012,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,169,928,△ 759
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"601,026","572,811","28,215"
,,,95,012,2,72,5,16,,列国議会同盟分担金,"114,051","114,063",△ 12
,,,95,012,2,12,9,17,,交際費,"58,601","58,063",538
,,,95,012,2,95,9,18,,賠償償還及払戻金,"2,467","2,467",0
,,002,,,,,,,衆議院施設費,,"9,162,656","9,193,944","△ 31,288"
,,,95,012,1,20,2,08,,施設施工旅費,705,696,9
,,,95,012,1,20,3,09,,施設施工庁費,"27,212","23,963","3,249"
,,,95,012,1,20,4,15,,施設整備費,"1,025,942","1,071,154","△ 45,212"
,,,95,012,1,20,4,15,,不動産購入費,"8,108,797","8,098,131","10,666"
,,009,,,,,,,衆議院予備経費,,"7,000","7,000",0
,,,95,012,2,95,9,99,,(国会予備経費),"7,000","7,000",0
,参議院,,,,,,,,,,"48,942,029","45,882,976","3,059,053"
,,011,,,,,,,参議院,,"40,295,159","39,001,203","1,293,956"
,,,95,012,2,11,1,01,,議員歳費,"5,335,640","5,275,762","59,878"
,,,95,012,2,11,1,02,,職員基本給,"6,554,603","6,526,059","28,544"
,,,95,012,2,11,1,03,,職員諸手当,"3,399,101","3,360,019","39,082"
,,,95,012,2,11,1,04,,超過勤務手当,"1,125,216","1,115,335","9,881"
,,,95,012,2,11,1,05,,議員秘書手当,"6,599,964","6,393,497","206,467"
,,,95,012,2,11,1,05,,非常勤職員手当,"176,342","154,364","21,978"
,,,95,012,2,11,1,05,,休職者給与,"35,596","32,783","2,813"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"83,135","82,772",363
,,,95,012,2,15,1,05,,公務災害補償費,"2,848","2,848",0
,,,95,012,2,11,1,05,,退職手当,"1,409,155","1,507,471","△ 98,316"
,,,95,012,2,11,1,05,,議員秘書退職手当,"842,578","172,911","669,667"
,,,95,012,2,15,1,05,,弔慰金,"41,408","41,408",0
,,,95,089,2,11,1,05,,児童手当,"47,670","48,480",△ 810
,,,95,012,2,12,9,06,,諸謝金,"4,517","5,512",△ 995
,,,95,012,2,12,2,08,,議員旅費,"162,293","161,965",328
,,,95,012,2,12,2,08,,議員文書通信交通滞在費,"2,990,000","2,904,000","86,000"
,,,95,012,2,12,2,08,,議会雑費,"29,700","29,700",0
,,,95,012,2,12,2,08,,職員旅費,"87,595","87,445",150
,,,95,012,2,12,2,08,,赴任旅費,"2,699","2,674",25
,,,95,012,2,12,2,08,,証人等旅費,"10,680","10,584",96
,,,95,012,2,12,3,09,,庁費,"579,705","614,288","△ 34,583"
,,,95,012,2,12,3,09,,情報処理業務庁費,"1,164,630","993,484","171,146"
,,,95,012,2,12,3,09,,議員会館管理等運営庁費,"2,773,722","2,566,963","206,759"
,,,95,012,2,12,3,09,,議員特殊乗車券等購入費,"459,593","448,898","10,695"
,,,95,012,2,12,3,09,,国会活動啓発費,"18,714","21,293","△ 2,579"
,,,95,012,2,12,3,09,,議案類印刷費,"416,543","440,493","△ 23,950"
,,,95,012,2,12,3,09,,招へい外国人滞在費,"51,342","50,870",472
,,,95,012,2,12,3,09,,各所修繕,"62,216","61,645",571
,,,95,012,2,12,3,09,,国政調査活動費,"184,675","222,983","△ 38,308"
,,,95,012,2,12,3,09,,公共施設等維持管理運営費,"1,139,764","1,222,593","△ 82,829"
,,,95,199,2,13,3,09,,自動車重量税,930,"1,007",△ 77
,,,95,012,2,12,3,11,,立法事務費,"1,903,200","1,887,600","15,600"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,798,018","1,796,196","1,822"
,,,95,012,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"424,622","402,235","22,387"
,,,95,012,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,505,272,233
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"343,145","321,981","21,164"
,,,95,012,2,12,9,17,,交際費,"30,735","30,453",282
,,,95,012,2,95,9,18,,賠償償還及払戻金,"2,360","2,360",0
,,012,,,,,,,参議院施設費,,"8,641,870","6,876,773","1,765,097"
,,,95,012,1,20,2,08,,施設施工旅費,891,875,16
,,,95,012,1,20,3,09,,施設施工庁費,"64,777","44,650","20,127"
,,,95,012,1,20,4,15,,施設整備費,"4,307,765","2,562,811","1,744,954"
,,,95,012,1,20,4,15,,不動産購入費,"4,268,437","4,268,437",0
,,019,,,,,,,参議院予備経費,,"5,000","5,000",0
,,,95,012,2,95,9,99,,(国会予備経費),"5,000","5,000",0
,国立国会図書館,,,,,,,,,,"27,279,003","23,076,131","4,202,872"
,,021,,,,,,,国立国会図書館,,"18,640,985","18,188,735","452,250"
,,,95,012,2,11,1,02,,職員基本給,"4,667,141","4,597,606","69,535"
,,,95,012,2,11,1,03,,職員諸手当,"2,500,241","2,444,665","55,576"
,,,95,012,2,11,1,04,,超過勤務手当,"473,969","466,409","7,560"
,,,95,012,2,11,1,05,,非常勤職員手当,"212,371","195,686","16,685"
,,,95,012,2,11,1,05,,休職者給与,"34,483","33,079","1,404"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"57,444","57,563",△ 119
,,,95,012,2,15,1,05,,公務災害補償費,"2,100","2,340",△ 240
,,,95,012,2,11,1,05,,退職手当,"653,858","468,875","184,983"
,,,95,089,2,11,1,05,,児童手当,"25,520","26,215",△ 695
,,,95,012,2,12,9,06,,諸謝金,"22,225","23,733","△ 1,508"
,,,95,012,2,12,2,08,,職員旅費,"57,363","57,916",△ 553
,,,95,012,2,12,2,08,,赴任旅費,"10,108","10,015",93
,,,95,012,2,12,2,08,,委員等旅費,"3,217","3,424",△ 207
,,,95,012,2,12,2,08,,外国人招へい旅費,"4,921","5,238",△ 317
,,,95,012,2,12,3,09,,庁費,"60,959","55,608","5,351"
,,,95,012,2,12,3,09,,国立国会図書館業務庁費,"4,330,622","4,424,012","△ 93,390"
,,,95,012,2,12,3,09,,図書館資料購入費,"768,792","784,442","△ 15,650"
,,,95,012,2,12,3,09,,立法資料購入費,"63,330","62,795",535
,,,13,012,2,12,3,09,,科学技術関係資料費,"1,135,971","1,098,455","37,516"
,,,95,012,2,12,3,09,,特殊文書関係資料整備費,"68,158","67,533",625
,,,95,012,2,12,3,09,,電子計算機等借料,"1,506,536","1,332,188","174,348"
,,,95,012,2,12,3,09,,招へい外国人滞在費,"4,517","4,589",△ 72
,,,95,012,2,12,3,09,,各所修繕,"77,704","76,983",721
,,,95,199,2,13,3,09,,自動車重量税,62,70,△ 8
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,200,135","1,210,525","△ 10,390"
,,,95,012,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"289,671","270,852","18,819"
,,,95,012,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,277,161,116
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"2,793","2,850",△ 57
,,,95,012,2,72,5,16,,国際図書館連盟等拠出金,"11,946","13,976","△ 2,030"
,,,95,012,2,12,9,17,,交際費,645,640,5
,,,95,012,2,95,9,18,,賠償償還及払戻金,44,44,0
,,,95,012,2,95,9,20,,納入出版物代償金,"393,862","390,248","3,614"
,,022,,,,,,,国立国会図書館施設費,,"8,638,018","4,887,396","3,750,622"
,,,95,012,1,20,2,08,,施設施工旅費,"1,831","1,576",255
,,,95,012,1,20,3,09,,施設施工庁費,"62,150","61,785",365
,,,95,012,1,20,4,15,,施設整備費,"8,574,037","4,824,035","3,750,002"
,裁判官訴追委員会,,,,,,,,,,"133,372","131,783","1,589"
,,031,,,,,,,裁判官訴追委員会,,"133,372","131,783","1,589"
,,,95,012,2,11,1,02,,職員基本給,"73,151","72,486",665
,,,95,012,2,11,1,03,,職員諸手当,"37,392","36,687",705
,,,95,012,2,11,1,04,,超過勤務手当,"4,457","4,516",△ 59
,,,95,012,2,11,1,05,,非常勤職員手当,"8,830","8,823",7
,,,95,089,2,11,1,05,,児童手当,"1,620","1,400",220
,,,95,012,2,12,9,06,,諸謝金,100,100,0
,,,95,012,2,12,2,08,,職務雑費,900,900,0
,,,95,012,2,12,2,08,,職員旅費,896,888,8
,,,95,012,2,12,2,08,,委員旅費,899,890,9
,,,95,012,2,12,2,08,,証人等旅費,327,324,3
,,,95,012,2,12,3,09,,庁費,"4,800","4,769",31
,裁判官弾劾裁判所,,,,,,,,,,"112,881","113,626",△ 745
,,041,,,,,,,裁判官弾劾裁判所,,"112,881","113,626",△ 745
,,,95,012,2,11,1,02,,職員基本給,"66,071","65,875",196
,,,95,012,2,11,1,03,,職員諸手当,"36,475","37,071",△ 596
,,,95,012,2,11,1,04,,超過勤務手当,"2,954","2,981",△ 27
,,,95,089,2,11,1,05,,児童手当,780,720,60
,,,95,012,2,12,9,06,,諸謝金,159,159,0
,,,95,012,2,12,2,08,,職務雑費,900,900,0
,,,95,012,2,12,2,08,,職員旅費,399,399,0
,,,95,012,2,12,2,08,,委員旅費,276,276,0
,,,95,012,2,12,2,08,,証人等旅費,43,43,0
,,,95,012,2,12,3,09,,庁費,"4,804","5,167",△ 363
,,,95,199,2,13,3,09,,自動車重量税,20,35,△ 15
裁判所,裁判所,,,,,,,,,,"325,574,308","321,484,416","4,089,892"
,,001,,,,,,,最高裁判所,,"80,198,012","79,007,093","1,190,919"
,,,95,014,2,11,1,02,,職員基本給,"5,334,981","5,284,219","50,762"
,,,95,014,2,11,1,03,,職員諸手当,"2,806,712","2,758,977","47,735"
,,,95,014,2,11,1,04,,超過勤務手当,"737,255","737,397",△ 142
,,,95,014,2,11,1,05,,委員手当,"15,761","15,620",141
,,,95,014,2,11,1,05,,非常勤職員手当,"8,507","8,507",0
,,,95,014,2,11,1,05,,休職者給与,"526,237","362,302","163,935"
,,,95,014,2,11,1,05,,短時間勤務職員給与,"1,866","1,851",15
,,,95,014,2,15,1,05,,公務災害補償費,"122,718","90,909","31,809"
,,,95,014,2,11,1,05,,退職手当,"18,726,855","18,642,656","84,199"
,,,95,089,2,11,1,05,,児童手当,"64,040","58,700","5,340"
,,,95,014,2,12,9,06,,諸謝金,"234,886","240,751","△ 5,865"
,,,95,014,2,71,9,06,,修習給付金,"3,363,235","3,362,135","1,100"
,,,95,014,2,12,2,08,,職員旅費,"694,613","681,587","13,026"
,,,95,014,2,12,2,08,,外国留学旅費,"60,850","60,623",227
,,,95,014,2,12,2,08,,赴任旅費,"548,517","546,308","2,209"
,,,95,014,2,12,2,08,,委員等旅費,"11,146","10,819",327
,,,95,014,2,12,2,08,,司法修習生旅費,"121,056","120,217",839
,,,95,014,2,12,2,08,,外国人招へい旅費,"3,889","2,714","1,175"
,,,95,014,2,12,2,08,,証人等旅費,12,12,0
,,,95,014,2,12,3,09,,庁費,"1,195,394","1,162,014","33,380"
,,,95,014,2,12,3,09,,情報処理業務庁費,"585,337","455,519","129,818"
,,,95,014,2,12,3,09,,裁判資料整備費,"513,354","481,546","31,808"
,,,95,014,2,12,3,09,,研修費,"445,305","395,552","49,753"
,,,95,014,2,12,3,09,,国会図書館支部庁費,"46,257","45,816",441
,,,95,014,2,12,3,09,,裁判官等法服費,"6,724","6,371",353
,,,95,014,2,12,3,09,,招へい外国人滞在費,"2,515","1,486","1,029"
,,,95,014,2,12,3,09,,各所修繕,"1,091,125","1,041,506","49,619"
,,,95,199,2,13,3,09,,自動車重量税,303,860,△ 557
,,,95,014,2,12,5,14,,司法修習生研修委託費,"99,275","96,321","2,954"
,,,95,014,2,11,5,16,,国家公務員共済組合負担金,"33,407,607","33,575,522","△ 167,915"
,,,95,014,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"7,987,549","7,559,732","427,817"
,,,95,014,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,"10,515","10,403",112
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"166,337","163,321","3,016"
,,,95,014,2,72,5,16,,国際裁判官連合分担金,409,375,34
,,,95,014,2,12,9,17,,交際費,"2,114","2,094",20
,,,95,014,2,95,9,18,,賠償償還及払戻金,"239,606","6,076","233,530"
,,,95,014,2,95,9,23,,修習資金貸与金,"1,015,150","1,016,275","△ 1,125"
,,002,,,,,,,下級裁判所,,"207,825,046","207,438,242","386,804"
,,,95,014,2,11,1,02,,職員基本給,"126,701,102","127,147,507","△ 446,405"
,,,95,014,2,11,1,03,,職員諸手当,"63,046,065","62,647,805","398,260"
,,,95,014,2,11,1,04,,超過勤務手当,"3,548,635","3,530,024","18,611"
,,,95,014,2,11,1,05,,委員手当,"6,928,912","7,026,465","△ 97,553"
,,,95,014,2,11,1,05,,非常勤職員手当,"110,901","110,901",0
,,,95,014,2,11,1,05,,短時間勤務職員給与,"10,887","10,839",48
,,,95,089,2,11,1,05,,児童手当,"972,005","993,335","△ 21,330"
,,,95,014,2,12,9,06,,諸謝金,"77,756","68,880","8,876"
,,,95,014,2,12,2,08,,職員旅費,"235,204","224,732","10,472"
,,,95,014,2,12,2,08,,委員等旅費,"442,131","436,651","5,480"
,,,95,014,2,12,3,09,,庁費,"5,153,493","4,099,976","1,053,517"
,,,95,014,2,12,3,09,,情報処理業務庁費,"117,295","112,574","4,721"
,,,95,014,2,12,3,09,,国有財産管理処分庁費,"21,142","8,801","12,341"
,,,95,014,2,20,3,09,,法廷等器具整備費,"442,655","708,234","△ 265,579"
,,,95,014,2,12,3,09,,土地建物借料,"13,847","97,062","△ 83,215"
,,,95,199,2,13,3,09,,自動車重量税,"1,864","3,820","△ 1,956"
,,,95,014,2,12,3,09,,公共施設等維持管理運営費,0,"209,495","△ 209,495"
,,,95,014,2,12,9,17,,交際費,"1,152","1,141",11
,,003,,,,,,,検察審査費,,"298,471","314,120","△ 15,649"
,,,95,014,2,11,1,05,,委員手当,"3,131","3,776",△ 645
,,,95,014,2,12,9,06,,諸謝金,186,0,186
,,,95,014,2,12,2,08,,職員旅費,523,518,5
,,,95,014,2,12,2,08,,委員等旅費,129,155,△ 26
,,,95,014,2,12,2,08,,検察審査員旅費,"246,155","252,476","△ 6,321"
,,,95,014,2,12,2,08,,証人等旅費,139,139,0
,,,95,014,2,12,3,09,,庁費,"48,208","57,056","△ 8,848"
,,004,,,,,,,裁判費,,"19,764,433","19,050,740","713,693"
,,,95,014,2,12,9,06,,諸謝金,"2,139,696","2,035,901","103,795"
,,,95,014,2,12,2,08,,裁判旅費,"267,979","266,517","1,462"
,,,95,014,2,12,2,08,,執行官旅費,"43,904","42,614","1,290"
,,,95,014,2,12,2,08,,委員等旅費,"1,526,638","1,572,939","△ 46,301"
,,,95,014,2,12,2,08,,証人等旅費,"174,803","140,962","33,841"
,,,95,014,2,12,3,09,,裁判庁費,"14,055,069","13,592,946","462,123"
,,,95,014,2,12,3,09,,特別送達料,"588,511","582,417","6,094"
,,,95,014,2,12,3,09,,身柄拘束者食糧費,416,413,3
,,,95,014,2,12,5,14,,少年補導委託費,"159,138","136,077","23,061"
,,,95,014,2,95,9,18,,賠償償還及払戻金,"314,241","313,177","1,064"
,,,95,014,2,95,9,19,,保証金,"10,000","10,000",0
,,,95,014,2,95,9,20,,刑事補償金,"474,017","346,756","127,261"
,,,95,014,2,95,9,20,,少年補償金,"10,021","10,021",0
,,005,,,,,,,裁判所施設費,,"17,480,346","15,666,221","1,814,125"
,,,95,014,1,20,2,08,,施設施工旅費,"92,021","80,832","11,189"
,,,95,014,1,20,3,09,,施設施工庁費,"534,087","522,129","11,958"
,,,95,014,1,20,4,15,,施設整備費,"16,513,228","14,466,802","2,046,426"
,,,95,014,1,94,4,15,,不動産購入費,"341,010","596,458","△ 255,448"
,,009,,,,,,,裁判所予備経費,,"8,000","8,000",0
,,,95,014,2,95,9,99,,(裁判所予備経費),"8,000","8,000",0
会計検査院,会計検査院,,,,,,,,,,"17,719,957","17,501,115","218,842"
,,001,,,,,,,会計検査院,,"17,696,842","17,418,297","278,545"
,,,95,016,2,11,1,02,,職員基本給,"6,218,624","6,245,655","△ 27,031"
,,,95,016,2,11,1,03,,職員諸手当,"3,358,085","3,290,652","67,433"
,,,95,016,2,11,1,04,,超過勤務手当,"980,940","976,267","4,673"
,,,95,016,2,11,1,05,,委員手当,"1,415","2,144",△ 729
,,,95,016,2,11,1,05,,非常勤職員手当,"12,736","15,269","△ 2,533"
,,,95,016,2,11,1,05,,休職者給与,"12,040","15,952","△ 3,912"
,,,95,016,2,11,1,05,,国際機関等派遣職員給与,233,233,0
,,,95,016,2,11,1,05,,短時間勤務職員給与,"229,324","218,967","10,357"
,,,95,016,2,15,1,05,,公務災害補償費,"13,382","16,756","△ 3,374"
,,,95,016,2,11,1,05,,退職手当,"1,669,290","1,543,959","125,331"
,,,95,089,2,11,1,05,,児童手当,"48,105","49,310","△ 1,205"
,,,95,016,2,12,9,06,,諸謝金,"8,027","8,493",△ 466
,,,95,016,2,12,2,08,,職員旅費,"55,114","56,649","△ 1,535"
,,,95,016,2,12,2,08,,検査旅費,"459,180","492,510","△ 33,330"
,,,95,016,2,12,2,08,,外国留学旅費,"6,327","3,822","2,505"
,,,95,016,2,12,2,08,,赴任旅費,"6,679","9,269","△ 2,590"
,,,95,016,2,12,2,08,,委員等旅費,"3,765","3,332",433
,,,95,016,2,12,2,08,,外国人招へい旅費,"8,658","8,658",0
,,,95,016,2,12,3,09,,庁費,"239,938","225,289","14,649"
,,,95,016,2,12,3,09,,研修所庁費,"111,631","111,694",△ 63
,,,95,016,2,12,3,09,,会計検査情報処理業務庁費,"1,040,421","932,264","108,157"
,,,95,016,2,12,3,09,,国会図書館支部庁費,"1,168","1,535",△ 367
,,,95,016,2,12,3,09,,通信専用料,822,815,7
,,,95,016,2,12,3,09,,電子計算機等借料,"245,366","214,179","31,187"
,,,95,016,2,12,3,09,,招へい外国人滞在費,"1,015","1,015",0
,,,95,016,2,12,3,09,,各所修繕,"15,527","16,910","△ 1,383"
,,,95,016,2,12,3,09,,会計検査活動費,"238,897","241,921","△ 3,024"
,,,95,016,2,12,3,09,,民間資金等活用事業調査費,"6,570",0,"6,570"
,,,95,016,2,12,3,09,,公共施設等維持管理運営費,"497,066","481,549","15,517"
,,,95,016,2,12,3,09,,官民区分所有施設維持管理運営費,"123,048","135,535","△ 12,487"
,,,95,199,2,13,3,09,,自動車重量税,127,75,52
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"1,659,694","1,692,146","△ 32,452"
,,,95,016,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"414,863","395,958","18,905"
,,,95,016,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,331,851,△ 520
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,246,268,△ 22
,,,95,016,2,72,5,16,,最高会計検査機関国際組織分担金,"2,634","2,581",53
,,,95,016,2,72,5,16,,最高会計検査機関国際組織拠出金,"4,950","5,040",△ 90
,,,95,016,2,12,9,17,,交際費,594,765,△ 171
,,,95,016,2,95,9,18,,賠償償還及払戻金,10,10,0
,,002,,,,,,,会計検査院施設費,,"23,115","82,818","△ 59,703"
,,,95,016,1,20,2,08,,施設施工旅費,286,"1,900","△ 1,614"
,,,95,016,1,20,3,09,,施設施工庁費,"2,146","4,998","△ 2,852"
,,,95,016,1,20,4,15,,施設整備費,"20,683","75,920","△ 55,237"
内閣,内閣官房,,,,,,,,,,"98,404,449","97,254,249","1,150,200"
,,001,,,,,,,内閣官房共通費,,"34,624,113","33,770,057","854,056"
,,,95,016,2,11,1,02,,職員基本給,"6,662,895","6,615,020","47,875"
,,,95,016,2,11,1,03,,職員諸手当,"3,516,981","3,412,358","104,623"
,,,95,016,2,11,1,04,,超過勤務手当,"1,064,261","1,033,917","30,344"
,,,95,016,2,11,1,05,,委員手当,"17,510","15,898","1,612"
,,,95,016,2,11,1,05,,非常勤職員手当,"901,340","898,014","3,326"
,,,95,016,2,11,1,05,,休職者給与,"16,926","16,903",23
,,,95,016,2,11,1,05,,短時間勤務職員給与,"165,619","152,520","13,099"
,,,95,016,2,11,1,05,,退職手当,"1,171,842","1,058,199","113,643"
,,,95,089,2,11,1,05,,児童手当,"64,935","63,390","1,545"
,,,95,016,2,12,9,06,,諸謝金,"1,186,438","1,301,624","△ 115,186"
,,,95,016,2,95,9,07,,報償費,"1,461,652","1,461,652",0
,,,95,016,2,12,2,08,,職員旅費,"705,048","708,025","△ 2,977"
,,,95,016,2,12,2,08,,外国留学旅費,"3,514","3,030",484
,,,95,016,2,12,2,08,,赴任旅費,"5,046","4,900",146
,,,95,016,2,12,2,08,,委員等旅費,"153,314","176,364","△ 23,050"
,,,95,016,2,12,2,08,,外国人招へい旅費,"4,873","4,873",0
,,,95,016,2,12,3,09,,庁費,"2,191,632","2,113,795","77,837"
,,,95,016,2,12,3,09,,情報処理業務庁費,"7,008,925","6,686,915","322,010"
,,,95,016,2,12,3,09,,総理大臣官邸業務庁費,"1,961,130","1,958,192","2,938"
,,,95,016,2,12,3,09,,拉致問題対策庁費,"546,059","537,825","8,234"
,,,95,016,2,12,3,09,,電子計算機等借料,"459,379","208,807","250,572"
,,,95,016,2,12,3,09,,土地建物借料,"349,749","324,036","25,713"
,,,95,016,2,12,3,09,,各所修繕,"32,960","33,155",△ 195
,,,95,016,2,12,3,09,,拉致問題対策情報収集等活動費,"600,000","600,000",0
,,,95,016,2,12,3,09,,国家安全保障政策活動費,"120,000","120,000",0
,,,95,016,2,12,3,09,,国際テロ情報収集等活動費,"420,000","420,000",0
,,,95,199,2,13,3,09,,自動車重量税,897,985,△ 88
,,,95,016,2,12,5,14,,重要政策基礎調査委託費,"383,525","362,717","20,808"
,,,95,016,2,12,5,14,,情報調査委託費,"757,954","757,954",0
,,,95,016,2,12,5,14,,健康・医療戦略推進調査委託費,"105,621","99,023","6,598"
,,,95,016,2,12,5,14,,サイバーセキュリティ施策評価事務委託費,"202,900","304,007","△ 101,107"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"1,931,056","1,895,289","35,767"
,,,95,016,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"438,039","408,629","29,410"
,,,95,016,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,52,0,52
,,,95,016,2,12,9,17,,交際費,"11,841","11,841",0
,,,95,016,2,95,9,18,,賠償償還及払戻金,200,200,0
,,002,,,,,,,内閣官房施設費,,"1,705,428","1,483,004","222,424"
,,,95,016,1,20,2,08,,施設施工旅費,949,804,145
,,,95,016,1,20,3,09,,施設施工庁費,"78,052","66,527","11,525"
,,,95,016,1,20,4,15,,施設整備費,"1,626,427","1,415,673","210,754"
,,003,,,,,,,情報収集衛星業務費,,"60,124,479","59,557,501","566,978"
,,,95,016,2,12,9,06,,諸謝金,"137,705","150,842","△ 13,137"
,,,95,016,2,12,2,08,,職員旅費,"77,362","73,865","3,497"
,,,95,016,2,12,2,08,,委員等旅費,926,"1,084",△ 158
,,,95,016,2,12,3,09,,情報収集衛星業務庁費,"13,036,413","14,093,602","△ 1,057,189"
,,,95,016,2,12,3,09,,通信専用料,"1,568,667","1,763,581","△ 194,914"
,,,95,016,2,12,3,09,,土地建物借料,"23,700","25,380","△ 1,680"
,,,95,016,2,12,3,09,,各所修繕,"18,188","18,112",76
,,,95,199,2,13,3,09,,自動車重量税,0,202,△ 202
,,,95,016,2,12,5,14,,情報収集衛星システム開発等委託費,"45,261,518","43,430,833","1,830,685"
,,004,,,,,,,情報収集衛星施設費,,"1,950,429","2,443,687","△ 493,258"
,,,95,016,1,20,2,08,,施設施工旅費,"4,897","2,956","1,941"
,,,95,016,1,20,3,09,,施設施工庁費,"229,935","78,960","150,975"
,,,95,016,1,20,4,15,,施設整備費,"1,715,597","2,361,771","△ 646,174"
,内閣法制局,,,,,,,,,,"1,099,748","1,080,819","18,929"
,,011,,,,,,,内閣法制局,,"1,099,748","1,080,819","18,929"
,,,95,016,2,11,1,02,,職員基本給,"478,505","479,457",△ 952
