所管,組織,,,,,,,,                             項目,,"平成29年度
成立予算額(千円)",補正要求,,,"改平成29年度
予算額(千円)"
,,,95,012,2,11,1,02,,職員基本給,"4,571,080",0,"△ 49,046","△ 49,046","4,522,034"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"56,032",0,"△ 2,687","△ 2,687","53,345"
,,,95,012,2,11,1,05,,退職手当,"436,733",0,"△ 27,939","△ 27,939","408,794"
,,,95,012,2,12,3,09,,電子計算機等借料,"1,194,434",0,"△ 59,165","△ 59,165","1,135,269"
,,,95,012,2,72,5,16,,国際図書館連盟等拠出金,"14,897",0,"△ 1,021","△ 1,021","13,876"
,,,95,012,2,12,9,06,,諸謝金外25目,"11,810,319",0,0,0,"11,810,319"
,,022,,,,,,,国立国会図書館施設費,,"4,129,704",0,"△ 11,528","△ 11,528","4,118,176"
,,,95,012,1,20,3,09,,施設施工庁費,"48,149",0,"△ 11,528","△ 11,528","36,621"
,,,95,012,1,20,2,08,,施設施工旅費外1目,"4,081,555",0,0,0,"4,081,555"
,裁判官訴追委員会,,,,,,,,,,"129,769",0,"△ 4,849","△ 4,849","124,920"
,,031,,,,,,,裁判官訴追委員会,,"129,769",0,"△ 4,849","△ 4,849","124,920"
,,,95,012,2,11,1,02,,職員基本給,"72,361",0,"△ 2,747","△ 2,747","69,614"
,,,95,012,2,11,1,03,,職員諸手当,"35,663",0,"△ 1,732","△ 1,732","33,931"
,,,95,012,2,11,1,05,,非常勤職員手当,"8,271",0,△ 110,△ 110,"8,161"
,,,95,089,2,11,1,05,,児童手当,"1,140",0,△ 260,△ 260,880
,,,95,012,2,12,9,06,,諸謝金外6目,"12,334",0,0,0,"12,334"
,裁判官弾劾裁判所,,,,,,,,,,"112,397",0,"△ 5,154","△ 5,154","107,243"
,,041,,,,,,,裁判官弾劾裁判所,,"112,397",0,"△ 5,154","△ 5,154","107,243"
,,,95,012,2,11,1,02,,職員基本給,"66,355",0,"△ 3,094","△ 3,094","63,261"
,,,95,012,2,11,1,03,,職員諸手当,"35,898",0,"△ 1,640","△ 1,640","34,258"
,,,95,089,2,11,1,05,,児童手当,480,0,△ 420,△ 420,60
,,,95,012,2,12,9,06,,諸謝金外6目,"9,664",0,0,0,"9,664"
裁判所,裁判所,,,,,,,,,,"317,702,810","1,999,706","△ 1,167,569","832,137","318,534,947"
,,001,,,,,,,最高裁判所,,"75,628,647",0,"△ 1,078,779","△ 1,078,779","74,549,868"
,,,95,014,2,11,1,05,,休職者給与,"381,265",0,"△ 30,444","△ 30,444","350,821"
,,,95,014,2,11,1,05,,退職手当,"16,241,308",0,"△ 448,919","△ 448,919","15,792,389"
,,,95,014,2,11,5,16,,国家公務員共済組合負担金,"33,138,276",0,"△ 599,416","△ 599,416","32,538,860"
,,,95,014,2,12,9,06,,諸謝金外33目,"25,867,798",0,0,0,"25,867,798"
,,002,,,,,,,下級裁判所,,"206,958,070",0,"△ 88,790","△ 88,790","206,869,280"
,,,95,014,2,12,2,08,,委員等旅費,"450,104",0,△ 833,△ 833,"449,271"
,,,95,014,2,12,3,09,,庁費,"4,083,458",0,"△ 7,336","△ 7,336","4,076,122"
,,,95,014,2,12,3,09,,国有財産管理処分庁費,"166,140",0,"△ 65,467","△ 65,467","100,673"
,,,95,014,2,12,3,09,,土地建物借料,"139,414",0,"△ 15,154","△ 15,154","124,260"
,,,95,014,2,12,9,06,,諸謝金外13目,"202,118,954",0,0,0,"202,118,954"
,,003,,,,,,,検察審査費,,"319,176",0,0,0,"319,176"
,,004,,,,,,,裁判費,,"18,917,371",0,0,0,"18,917,371"
,,005,,,,,,,裁判所施設費,,"15,871,546","1,999,706",0,"1,999,706","17,871,252"
,,,95,014,1,20,2,08,,施設施工旅費,"82,805","6,804",0,"6,804","89,609"
,,,95,014,1,20,3,09,,施設施工庁費,"572,570","7,352",0,"7,352","579,922"
,,,95,014,1,20,4,15,,施設整備費,"14,619,718","1,985,550",0,"1,985,550","16,605,268"
,,,95,014,1,20,4,15,,不動産購入費,"596,453",0,0,0,"596,453"
,,009,,,,,,,裁判所予備経費,,"8,000",0,0,0,"8,000"
会計検査院,会計検査院,,,,,,,,,,"17,271,415",0,"△ 355,725","△ 355,725","16,915,690"
,,001,,,,,,,会計検査院,,"17,172,004",0,"△ 355,725","△ 355,725","16,816,279"
,,,95,016,2,11,1,02,,職員基本給,"6,247,280",0,"△ 99,705","△ 99,705","6,147,575"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"211,134",0,"△ 49,061","△ 49,061","162,073"
,,,95,016,2,11,1,05,,退職手当,"1,317,894",0,"△ 161,477","△ 161,477","1,156,417"
,,,95,016,2,12,2,08,,職員旅費,"47,471",0,"△ 6,617","△ 6,617","40,854"
,,,95,016,2,12,3,09,,会計検査情報処理業務庁費,"1,010,708",0,"△ 20,173","△ 20,173","990,535"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"1,708,012",0,"△ 18,384","△ 18,384","1,689,628"
,,,95,016,2,72,5,16,,最高会計検査機関国際組織分担金,"2,846",0,△ 308,△ 308,"2,538"
,,,95,016,2,12,9,06,,諸謝金外30目,"6,626,659",0,0,0,"6,626,659"
,,002,,,,,,,会計検査院施設費,,"99,411",0,0,0,"99,411"
内閣,内閣官房,,,,,,,,,,"96,551,119","17,572,865","△ 319,363","17,253,502","113,804,621"
,,001,,,,,,,内閣官房共通費,,"33,333,596","4,081,879","△ 319,363","3,762,516","37,096,112"
,,,95,016,2,11,1,02,,職員基本給,"6,484,095",0,"△ 155,746","△ 155,746","6,328,349"
,,,95,016,2,11,1,05,,非常勤職員手当,"884,838",0,"△ 67,398","△ 67,398","817,440"
,,,95,016,2,12,3,09,,情報処理業務庁費,"6,912,009","3,952,848",0,"3,952,848","10,864,857"
,,,95,016,2,12,5,14,,サイバーセキュリティ施策評価事務委託費,"304,007","129,031",0,"129,031","433,038"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"1,814,663",0,"△ 96,219","△ 96,219","1,718,444"
,,,95,016,2,12,9,06,,諸謝金外30目,"16,933,984",0,0,0,"16,933,984"
,,002,,,,,,,内閣官房施設費,,"1,266,335",0,0,0,"1,266,335"
,,003,,,,,,,情報収集衛星業務費,,"58,608,881","13,490,986",0,"13,490,986","72,099,867"
,,,95,016,2,12,5,14,,情報収集衛星システム開発等委託費,"49,044,897","13,490,986",0,"13,490,986","62,535,883"
,,,95,016,2,12,9,06,,諸謝金外6目,"9,563,984",0,0,0,"9,563,984"
,,004,,,,,,,情報収集衛星施設費,,"3,342,307",0,0,0,"3,342,307"
,内閣法制局,,,,,,,,,,"1,187,188",0,"△ 23,546","△ 23,546","1,163,642"
,,011,,,,,,,内閣法制局,,"1,187,188",0,"△ 23,546","△ 23,546","1,163,642"
,,,95,016,2,11,1,02,,職員基本給,"477,119",0,"△ 17,650","△ 17,650","459,469"
,,,95,016,2,11,1,03,,職員諸手当,"265,164",0,"△ 5,371","△ 5,371","259,793"
,,,95,089,2,11,1,05,,児童手当,"5,400",0,△ 525,△ 525,"4,875"
,,,95,016,2,12,9,06,,諸謝金外8目,"439,505",0,0,0,"439,505"
,人事院,,,,,,,,,,"11,465,066",0,"△ 70,531","△ 70,531","11,394,535"
,,021,,,,,,,人事院,,"11,465,066",0,"△ 70,531","△ 70,531","11,394,535"
,,,95,016,2,11,1,02,,職員基本給,"3,278,826",0,"△ 70,531","△ 70,531","3,208,295"
,,,95,016,2,12,9,06,,諸謝金外33目,"8,186,240",0,0,0,"8,186,240"
内閣府,内閣本府,,,,,,,,,,"459,589,057","114,940,984","△ 250,736","114,690,248","574,279,305"
,,001,,,,,,,内閣本府共通費,,"33,021,298",0,"△ 138,560","△ 138,560","32,882,738"
,,,95,016,2,11,1,05,,委員手当,"238,467",0,"△ 43,239","△ 43,239","195,228"
,,,95,016,2,11,1,05,,非常勤職員手当,"669,887",0,"△ 9,897","△ 9,897","659,990"
,,,95,016,2,11,1,05,,休職者給与,"133,672",0,"△ 38,005","△ 38,005","95,667"
,,,95,016,2,11,1,05,,退職手当,"2,066,608",0,"△ 40,608","△ 40,608","2,026,000"
,,,95,016,2,12,3,09,,庁費,"2,726,349",0,"△ 6,811","△ 6,811","2,719,538"
,,,95,016,2,12,9,06,,諸謝金外31目,"27,186,315",0,0,0,"27,186,315"
,,002,,,,,,,内閣本府施設費,,"1,754,613",0,0,0,"1,754,613"
,,003,,,,,,,公文書等管理政策費,,"107,343",0,0,0,"107,343"
,,004,,,,,,,独立行政法人国立公文書館運営費,,"2,009,884",0,0,0,"2,009,884"
,,005,,,,,,,政府広報費,,"8,297,637","2,803,796","△ 1,431","2,802,365","11,100,002"
,,,95,016,2,11,1,05,,非常勤職員手当,"6,729",0,"△ 1,431","△ 1,431","5,298"
,,,95,016,2,12,3,09,,啓発広報費,"7,522,943","2,803,796",0,"2,803,796","10,326,739"
,,,95,016,2,12,9,06,,諸謝金外3目,"767,965",0,0,0,"767,965"
,,007,,,,,,,経済財政政策費,,"784,865","749,287","△ 2,383","746,904","1,531,769"
,,,95,016,2,11,1,05,,委員手当,"2,319",0,"△ 2,319","△ 2,319",0
,,,95,016,2,11,1,05,,非常勤職員手当,"9,216",0,△ 64,△ 64,"9,152"
,,,95,016,2,12,3,09,,経済財政政策運営調査費,"8,794","599,287",0,"599,287","608,081"
,,,95,016,2,81,5,16,,民間資金等活用事業調査費補助金,0,"150,000",0,"150,000","150,000"
,,,95,016,2,12,9,06,,諸謝金外10目,"764,536",0,0,0,"764,536"
,,009,,,,,,,地方創生支援費,,"206,779",0,"△ 24,641","△ 24,641","182,138"
,,,95,016,2,11,1,05,,非常勤職員手当,"65,880",0,"△ 24,641","△ 24,641","41,239"
,,,95,016,2,12,9,06,,諸謝金外5目,"140,899",0,0,0,"140,899"
,,012,,,,,,,科学技術・イノベーション政策費,,"464,050","521,151",0,"521,151","985,201"
,,,95,016,2,12,2,08,,職員旅費,"39,456","3,952",0,"3,952","43,408"
,,,95,016,2,12,2,08,,委員等旅費,"26,496",999,0,999,"27,495"
,,,95,016,2,12,3,09,,庁費,"129,731","70,000",0,"70,000","199,731"
,,,95,016,2,12,5,14,,科学技術基礎調査等委託費,"177,676","446,200",0,"446,200","623,876"
,,,95,016,2,12,9,06,,諸謝金外5目,"90,691",0,0,0,"90,691"
,,196,,,,,,,科学技術イノベーション創造推進費,,"50,000,000","32,500,000",0,"32,500,000","82,500,000"
,,,13,073,2,12,9,99,,(科学技術イノベーション創造推進費),"50,000,000","32,500,000",0,"32,500,000","82,500,000"
,,199,,,,,,,国立研究開発法人日本医療研究開発機構出資,,0,"30,000,000",0,"30,000,000","30,000,000"
,,,13,073,1,95,9,24,,国立研究開発法人日本医療研究開発機構出資金,0,"30,000,000",0,"30,000,000","30,000,000"
,,006,,,,,,,遺棄化学兵器廃棄処理事業費,,"36,172,881",0,"△ 25,766","△ 25,766","36,147,115"
,,,95,199,2,11,1,05,,非常勤職員手当,"121,087",0,"△ 25,766","△ 25,766","95,321"
,,,95,199,2,12,9,06,,諸謝金外4目,"36,051,794",0,0,0,"36,051,794"
,,013,,,,,,,防災政策費,,"5,953,692","31,174,656","△ 5,433","31,169,223","37,122,915"
,,,95,016,2,11,1,05,,非常勤職員手当,"17,237",0,"△ 5,433","△ 5,433","11,804"
,,,95,053,2,71,5,16,,被災者生活再建支援金補助金,"600,000","14,291,750",0,"14,291,750","14,891,750"
,,,95,088,2,86,5,16,,災害救助費等負担金,"1,882,820","16,798,157",0,"16,798,157","18,680,977"
,,,95,088,2,84,5,16,,災害弔慰金等負担金,"140,000","35,000",0,"35,000","175,000"
,,,95,088,1,95,9,23,,災害援護貸付金,"150,000","49,749",0,"49,749","199,749"
,,,95,016,2,12,2,08,,職員旅費外8目,"3,163,635",0,0,0,"3,163,635"
,,191,,,,,,,原子力災害対策費,,0,"10,000,000",0,"10,000,000","10,000,000"
,,,95,016,2,81,5,16,,原子力災害対策事業費補助金,0,"10,000,000",0,"10,000,000","10,000,000"
,,193,,,,,,,電源開発促進税財源原子力安全規制対策費エネルギー対策特別会計へ繰入,,"6,700,000",0,0,0,"6,700,000"
,,015,,,,,,,沖縄政策費,,"27,967,905",0,0,0,"27,967,905"
,,187,,,,,,,沖縄振興交付金事業推進費,,"135,836,726",0,0,0,"135,836,726"
,,188,,,,,,,沖縄北部連携促進特別振興事業費,,"2,572,000",0,0,0,"2,572,000"
,,189,,,,,,,沖縄振興推進調査費,,"61,714",0,0,0,"61,714"
,,022,,,,,,,沖縄教育振興事業費,,"9,422,566",0,0,0,"9,422,566"
,,023,,,,,,,沖縄保健衛生諸費,,"2,195",0,0,0,"2,195"
,,028,,,,,,,沖縄開発事業費,,"87,301,974","5,413,000",0,"5,413,000","92,714,974"
,,,42,052,1,20,4,00,,地域連携道路事業費,"3,057,000","780,000",0,"780,000","3,837,000"
,,,42,052,1,20,4,00,,道路交通円滑化事業費,"19,440,000","520,000",0,"520,000","19,960,000"
,,,42,052,1,20,4,00,,道路維持管理費,"5,148,000","160,000",0,"160,000","5,308,000"
,,,43,052,1,20,4,00,,港湾改修費,"9,248,157","1,160,000",0,"1,160,000","10,408,157"
,,,41,051,1,82,5,00,,治山事業費補助,"260,000","20,000",0,"20,000","280,000"
,,,43,052,1,82,5,00,,港湾改修費補助,"832,500","90,000",0,"90,000","922,500"
,,,45,086,1,92,5,00,,水道施設整備費補助,"2,467,000","946,000",0,"946,000","3,413,000"
,,,46,052,1,82,5,00,,農業生産基盤整備事業費補助,"5,808,725","455,000",0,"455,000","6,263,725"
,,,46,052,1,82,5,00,,水産基盤整備事業費補助,"3,472,204","405,000",0,"405,000","3,877,204"
,,,45,086,1,82,5,00,,循環型社会形成推進交付金,"1,166,000","799,000",0,"799,000","1,965,000"
,,,47,052,1,82,5,00,,防災・安全社会資本整備交付金,"4,102,000","78,000",0,"78,000","4,180,000"
,,,41,051,1,20,4,00,,国有林野内治山事業費外28目,"32,300,388",0,0,0,"32,300,388"
,,190,,,,,,,沖縄北部連携促進特別振興対策特定開発事業推進費,,"2,572,000",0,0,0,"2,572,000"
,,032,,,,,,,共生社会政策費,,"2,075,141","613,094","△ 3,328","609,766","2,684,907"
,,,95,016,2,11,1,05,,非常勤職員手当,"18,264",0,"△ 3,328","△ 3,328","14,936"
,,,95,016,2,81,5,16,,地域子供の未来応援交付金,0,"613,094",0,"613,094","613,094"
,,,95,016,2,12,9,06,,諸謝金外7目,"2,056,877",0,0,0,"2,056,877"
,,033,,,,,,,栄典行政費,,"2,693,369",0,0,0,"2,693,369"
,,034,,,,,,,男女共同参画社会形成促進費,,"760,391","150,000","△ 1,146","148,854","909,245"
,,,95,016,2,11,1,05,,非常勤職員手当,"18,912",0,"△ 1,146","△ 1,146","17,766"
,,,95,016,2,81,5,16,,地域女性活躍推進交付金,"250,000","150,000",0,"150,000","400,000"
,,,95,016,2,12,9,06,,諸謝金外5目,"491,479",0,0,0,"491,479"
,,038,,,,,,,食品安全政策費,,"318,100",0,△ 17,△ 17,"318,083"
,,,95,016,2,11,1,05,,委員手当,106,0,△ 17,△ 17,89
,,,95,016,2,12,9,06,,諸謝金外6目,"317,994",0,0,0,"317,994"
,,040,,,,,,,公益法人制度適正運営推進費,,"183,561",0,0,0,"183,561"
,,041,,,,,,,経済社会総合研究所,,"1,985,423",0,"△ 42,362","△ 42,362","1,943,061"
,,,13,073,2,20,1,02,,職員基本給,"709,376",0,"△ 8,921","△ 8,921","700,455"
,,,13,073,2,20,1,03,,職員諸手当,"363,214",0,"△ 4,794","△ 4,794","358,420"
,,,13,073,2,20,1,05,,非常勤職員手当,"11,774",0,"△ 3,055","△ 3,055","8,719"
,,,13,073,2,20,1,05,,短時間勤務職員給与,"41,587",0,"△ 24,632","△ 24,632","16,955"
,,,13,089,2,20,1,05,,児童手当,"4,810",0,△ 960,△ 960,"3,850"
,,,13,073,2,20,9,06,,諸謝金外11目,"854,662",0,0,0,"854,662"
,,042,,,,,,,迎賓施設運営費,,"2,136,364",0,0,0,"2,136,364"
,,047,,,,,,,沖縄空港整備事業費自動車安全特別会計へ繰入,,"20,494,586","1,016,000","△ 5,669","1,010,331","21,504,917"
,,,43,052,1,92,6,00,,空港整備事業財源自動車安全特別会計へ繰入,"20,494,586","1,016,000","△ 5,669","1,010,331","21,504,917"
,,049,,,,,,,航空機燃料税財源沖縄空港整備事業費自動車安全特別会計へ繰入,,"17,732,000",0,0,0,"17,732,000"
,地方創生推進事務局,,,,,,,,,,"102,997,242","60,209,823","△ 12,298","60,197,525","163,194,767"
,,231,,,,,,,地方創生推進事務局,,"1,497,242","209,823","△ 12,298","197,525","1,694,767"
,,,95,016,2,11,1,02,,職員基本給,"28,448",0,"△ 6,267","△ 6,267","22,181"
,,,95,016,2,11,1,03,,職員諸手当,"14,490",0,"△ 4,474","△ 4,474","10,016"
,,,95,016,2,11,1,05,,委員手当,"1,983",0,△ 449,△ 449,"1,534"
,,,95,016,2,11,1,05,,非常勤職員手当,"32,185",0,△ 993,△ 993,"31,192"
,,,95,089,2,11,1,05,,児童手当,420,0,△ 115,△ 115,305
,,,95,016,2,12,5,14,,地方創生推進委託費,"159,817","209,823",0,"209,823","369,640"
,,,95,016,2,12,9,06,,諸謝金外8目,"1,259,899",0,0,0,"1,259,899"
,,232,,,,,,,総合特区推進調整費,,"1,500,000",0,0,0,"1,500,000"
,,233,,,,,,,地方創生推進費,,"59,932,000","60,000,000",0,"60,000,000","119,932,000"
,,,95,199,2,81,5,16,,地方創生推進交付金,"59,932,000",0,0,0,"59,932,000"
,,,95,199,1,82,5,16,,地方創生拠点整備交付金,0,"60,000,000",0,"60,000,000","60,000,000"
,,234,,,,,,,地方創生基盤整備事業推進費,,"40,068,000",0,0,0,"40,068,000"
,知的財産戦略推進事務局,,,,,,,,,,"151,313","42,452","△ 5,514","36,938","188,251"
,,241,,,,,,,知的財産戦略推進事務局,,"151,313","42,452","△ 5,514","36,938","188,251"
,,,95,016,2,11,1,02,,職員基本給,"15,192",0,△ 288,△ 288,"14,904"
,,,95,016,2,11,1,03,,職員諸手当,"7,586",0,△ 901,△ 901,"6,685"
,,,95,016,2,11,1,05,,委員手当,"5,215",0,△ 442,△ 442,"4,773"
,,,95,016,2,11,1,05,,非常勤職員手当,"26,972",0,"△ 3,523","△ 3,523","23,449"
,,,95,089,2,11,1,05,,児童手当,360,0,△ 360,△ 360,0
,,,95,016,2,12,9,06,,諸謝金,"22,659","42,452",0,"42,452","65,111"
,,,95,016,2,12,2,08,,職員旅費外3目,"73,329",0,0,0,"73,329"
,宇宙開発戦略推進事務局,,,,,,,,,,"16,059,879","8,470,000","△ 43,912","8,426,088","24,485,967"
,,251,,,,,,,宇宙開発戦略推進事務局,,"16,059,879","8,470,000","△ 43,912","8,426,088","24,485,967"
,,,95,016,2,11,1,02,,職員基本給,"89,190",0,"△ 7,126","△ 7,126","82,064"
,,,95,016,2,11,1,03,,職員諸手当,"47,910",0,△ 925,△ 925,"46,985"
,,,95,016,2,11,1,05,,委員手当,"12,310",0,"△ 3,498","△ 3,498","8,812"
,,,95,016,2,11,1,05,,非常勤職員手当,"72,176",0,"△ 31,863","△ 31,863","40,313"
,,,95,089,2,11,1,05,,児童手当,"1,120",0,△ 500,△ 500,620
,,,95,016,2,12,5,14,,実用準天頂衛星システム開発等委託費,"14,859,046","8,470,000",0,"8,470,000","23,329,046"
,,,95,016,2,12,9,06,,諸謝金外9目,"978,127",0,0,0,"978,127"
,北方対策本部,,,,,,,,,,"1,607,495",0,"△ 1,883","△ 1,883","1,605,612"
,,061,,,,,,,北方対策本部,,"371,399",0,"△ 1,883","△ 1,883","369,516"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"8,174",0,"△ 1,883","△ 1,883","6,291"
,,,95,016,2,12,9,06,,諸謝金外7目,"363,225",0,0,0,"363,225"
,,062,,,,,,,独立行政法人北方領土問題対策協会運営費,,"1,236,096",0,0,0,"1,236,096"
,子ども・子育て本部,,,,,,,,,,"2,047,057,911","49,630,972","△ 40,755,120","8,875,852","2,055,933,763"
,,211,,,,,,,子ども・子育て本部,,"1,144,378","1,998,605","△ 26,864","1,971,741","3,116,119"
,,,95,016,2,11,1,02,,職員基本給,"145,659",0,"△ 15,190","△ 15,190","130,469"
,,,95,016,2,11,1,03,,職員諸手当,"75,797",0,"△ 8,308","△ 8,308","67,489"
,,,95,016,2,11,1,05,,委員手当,"4,951",0,△ 364,△ 364,"4,587"
,,,95,016,2,11,1,05,,非常勤職員手当,"10,592",0,△ 867,△ 867,"9,725"
,,,95,089,2,11,1,05,,児童手当,"3,070",0,"△ 2,135","△ 2,135",935
,,,95,016,2,81,5,16,,地域少子化対策重点推進交付金,"574,908","1,998,605",0,"1,998,605","2,573,513"
,,,95,016,2,12,9,06,,諸謝金外7目,"329,401",0,0,0,"329,401"
,,212,,,,,,,子ども・子育て支援推進費,,"799,139,611","47,632,367",0,"47,632,367","846,771,978"
,,,05,083,2,81,5,16,,子どものための教育・保育給付費負担金,"787,949,147","47,632,367",0,"47,632,367","835,581,514"
,,,06,083,2,12,5,14,,子どものための教育・保育給付調査委託費外2目,"11,190,464",0,0,0,"11,190,464"
,,213,,,,,,,子ども・子育て支援年金特別会計へ繰入,,"1,246,773,922",0,"△ 40,728,256","△ 40,728,256","1,206,045,666"
,,,06,089,2,71,6,22,,年金特別会計へ繰入,"50,891,844",0,"△ 98,439","△ 98,439","50,793,405"
,,,05,089,2,71,6,22,,児童手当年金特別会計へ繰入,"1,168,503,112",0,"△ 40,629,817","△ 40,629,817","1,127,873,295"
,,,05,089,2,71,6,22,,地域子ども・子育て支援事業年金特別会計へ繰入,"27,378,966",0,0,0,"27,378,966"
,総合海洋政策推進事務局,,,,,,,,,,"5,210,099",0,"△ 1,839","△ 1,839","5,208,260"
,,261,,,,,,,総合海洋政策推進事務局,,"163,054",0,"△ 1,839","△ 1,839","161,215"
,,,95,016,2,11,1,02,,職員基本給,"13,133",0,△ 245,△ 245,"12,888"
,,,95,016,2,11,1,03,,職員諸手当,"7,980",0,"△ 1,244","△ 1,244","6,736"
,,,95,016,2,11,1,05,,委員手当,"1,911",0,△ 350,△ 350,"1,561"
,,,95,016,2,12,9,06,,諸謝金外5目,"140,030",0,0,0,"140,030"
,,262,,,,,,,有人国境離島政策推進費,,"5,047,045",0,0,0,"5,047,045"
,国際平和協力本部,,,,,,,,,,"619,059",0,"△ 22,876","△ 22,876","596,183"
,,071,,,,,,,国際平和協力本部,,"619,059",0,"△ 22,876","△ 22,876","596,183"
,,,95,016,2,11,1,02,,職員基本給,"129,354",0,"△ 5,900","△ 5,900","123,454"
,,,95,016,2,11,1,03,,職員諸手当,"91,222",0,"△ 1,834","△ 1,834","89,388"
,,,95,016,2,11,1,05,,非常勤職員手当,"37,861",0,"△ 15,002","△ 15,002","22,859"
,,,95,089,2,11,1,05,,児童手当,"1,650",0,△ 140,△ 140,"1,510"
,,,95,016,2,12,9,06,,諸謝金外9目,"358,972",0,0,0,"358,972"
,日本学術会議,,,,,,,,,,"1,051,177",0,"△ 23,682","△ 23,682","1,027,495"
,,081,,,,,,,日本学術会議,,"1,051,177",0,"△ 23,682","△ 23,682","1,027,495"
,,,95,072,2,11,1,02,,職員基本給,"254,725",0,"△ 16,412","△ 16,412","238,313"
,,,95,072,2,11,1,03,,職員諸手当,"128,918",0,"△ 3,953","△ 3,953","124,965"
,,,95,072,2,11,1,05,,短時間勤務職員給与,"8,478",0,"△ 2,574","△ 2,574","5,904"
,,,95,089,2,11,1,05,,児童手当,"2,460",0,△ 720,△ 720,"1,740"
,,,95,072,2,72,5,16,,国際学術連合会議等分担金,"103,291",0,△ 23,△ 23,"103,268"
,,,95,072,2,12,9,06,,諸謝金外14目,"553,305",0,0,0,"553,305"
,沖縄総合事務局,,,,,,,,,,"10,882,840",0,"△ 149,416","△ 149,416","10,733,424"
,,101,,,,,,,沖縄総合事務局,,"5,489,400",0,"△ 2,359","△ 2,359","5,487,041"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"111,435",0,"△ 2,359","△ 2,359","109,076"
,,,95,016,2,12,9,06,,諸謝金外20目,"5,377,965",0,0,0,"5,377,965"
,,108,,,,,,,沖縄海岸事業調査諸費,,"3,500",0,0,0,"3,500"
,,102,,,,,,,沖縄治水事業工事諸費,,"1,788,073",0,"△ 51,726","△ 51,726","1,736,347"
,,,41,051,1,20,1,02,,職員基本給,"175,177",0,"△ 14,329","△ 14,329","160,848"
,,,41,051,1,20,1,03,,職員諸手当,"98,504",0,"△ 4,986","△ 4,986","93,518"
,,,41,051,1,20,1,05,,公務災害補償費,"2,818",0,△ 30,△ 30,"2,788"
,,,41,051,1,20,1,05,,退職手当,"29,886",0,"△ 25,217","△ 25,217","4,669"
,,,41,089,1,20,1,05,,児童手当,"5,860",0,△ 245,△ 245,"5,615"
,,,41,051,1,20,3,09,,電子計算機借料,"21,018",0,"△ 1,102","△ 1,102","19,916"
,,,41,051,1,20,5,16,,国家公務員共済組合負担金,"49,660",0,"△ 5,817","△ 5,817","43,843"
,,,41,051,1,20,9,06,,諸謝金外13目,"1,405,150",0,0,0,"1,405,150"
,,109,,,,,,,沖縄道路整備事業工事諸費,,"1,444,000",0,"△ 26,391","△ 26,391","1,417,609"
,,,42,052,1,20,1,02,,職員基本給,"411,362",0,"△ 10,857","△ 10,857","400,505"
,,,42,052,1,20,1,03,,職員諸手当,"217,517",0,"△ 1,449","△ 1,449","216,068"
,,,42,052,1,20,1,05,,短時間勤務職員給与,"6,707",0,△ 598,△ 598,"6,109"
,,,42,052,1,20,1,05,,退職手当,"76,853",0,"△ 3,702","△ 3,702","73,151"
,,,42,089,1,20,1,05,,児童手当,"11,220",0,△ 545,△ 545,"10,675"
