所管,組織,,,,,,,,                             項目,,"平成27年度
成立予算額(千円)",補正要求,,,"改平成27年度
予算額(千円)"
,,,95,012,2,12,3,09,,議員会館管理等運営庁費,"2,565,159",0,"△ 2,736","△ 2,736","2,562,423"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,738,188",0,"△ 59,675","△ 59,675","1,678,513"
,,,95,012,2,12,9,06,,諸謝金外31目,"20,082,370",0,0,0,"20,082,370"
,,012,,,,,,,参議院施設費,,"5,436,197",0,0,0,"5,436,197"
,,019,,,,,,,参議院予備経費,,"5,000",0,0,0,"5,000"
,国立国会図書館,,,,,,,,,,"20,035,121",0,"△ 120,132","△ 120,132","19,914,989"
,,021,,,,,,,国立国会図書館,,"18,487,204",0,"△ 120,132","△ 120,132","18,367,072"
,,,95,012,2,11,1,05,,休職者給与,"42,246",0,"△ 11,870","△ 11,870","30,376"
,,,95,012,2,11,1,05,,退職手当,"1,102,191",0,"△ 102,273","△ 102,273","999,918"
,,,95,012,2,12,2,08,,赴任旅費,"10,613",0,"△ 2,076","△ 2,076","8,537"
,,,95,012,2,12,3,09,,電子計算機等借料,"1,430,424",0,"△ 3,913","△ 3,913","1,426,511"
,,,95,012,2,12,9,06,,諸謝金外27目,"15,901,730",0,0,0,"15,901,730"
,,022,,,,,,,国立国会図書館施設費,,"1,547,917",0,0,0,"1,547,917"
,裁判官訴追委員会,,,,,,,,,,"128,132",0,"△ 5,114","△ 5,114","123,018"
,,031,,,,,,,裁判官訴追委員会,,"128,132",0,"△ 5,114","△ 5,114","123,018"
,,,95,012,2,11,1,02,,職員基本給,"72,200",0,"△ 2,709","△ 2,709","69,491"
,,,95,012,2,11,1,03,,職員諸手当,"34,381",0,"△ 1,763","△ 1,763","32,618"
,,,95,012,2,11,1,05,,非常勤職員手当,"7,656",0,△ 52,△ 52,"7,604"
,,,95,089,2,11,1,05,,児童手当,"1,500",0,△ 590,△ 590,910
,,,95,012,2,12,9,06,,諸謝金外6目,"12,395",0,0,0,"12,395"
,裁判官弾劾裁判所,,,,,,,,,,"109,529",0,"△ 4,130","△ 4,130","105,399"
,,041,,,,,,,裁判官弾劾裁判所,,"109,529",0,"△ 4,130","△ 4,130","105,399"
,,,95,012,2,11,1,02,,職員基本給,"65,230",0,"△ 2,467","△ 2,467","62,763"
,,,95,012,2,11,1,03,,職員諸手当,"33,672",0,"△ 1,203","△ 1,203","32,469"
,,,95,089,2,11,1,05,,児童手当,610,0,△ 460,△ 460,150
,,,95,012,2,12,9,06,,諸謝金外7目,"10,017",0,0,0,"10,017"
裁判所,裁判所,,,,,,,,,,"313,097,396","1,699,992","△ 2,140,523","△ 440,531","312,656,865"
,,001,,,,,,,最高裁判所,,"75,459,442",0,"△ 1,607,074","△ 1,607,074","73,852,368"
,,,95,014,2,11,1,02,,職員基本給,"5,212,512",0,"△ 68,273","△ 68,273","5,144,239"
,,,95,014,2,11,1,05,,退職手当,"15,965,537",0,"△ 981,415","△ 981,415","14,984,122"
,,,95,014,2,12,9,06,,諸謝金,"260,606",0,"△ 7,991","△ 7,991","252,615"
,,,95,014,2,12,2,08,,司法修習生旅費,"240,118",0,"△ 5,850","△ 5,850","234,268"
,,,95,014,2,12,3,09,,庁費,"1,081,579",0,△ 14,△ 14,"1,081,565"
,,,95,014,2,12,3,09,,情報処理業務庁費,"284,485",0,"△ 1,304","△ 1,304","283,181"
,,,95,014,2,12,3,09,,研修費,"383,634",0,"△ 3,727","△ 3,727","379,907"
,,,95,014,2,12,5,14,,司法修習生研修委託費,"121,826",0,"△ 12,106","△ 12,106","109,720"
,,,95,014,2,11,5,16,,国家公務員共済組合負担金,"31,907,340",0,"△ 359,913","△ 359,913","31,547,427"
,,,95,014,2,95,9,23,,修習資金貸与金,"5,149,032",0,"△ 166,481","△ 166,481","4,982,551"
,,,95,014,2,12,2,08,,職員旅費外25目,"14,852,773",0,0,0,"14,852,773"
,,002,,,,,,,下級裁判所,,"203,990,921","10,553","△ 532,661","△ 522,108","203,468,813"
,,,95,014,2,11,1,02,,職員基本給,"126,964,961",0,"△ 518,581","△ 518,581","126,446,380"
,,,95,014,2,12,9,06,,諸謝金,"67,770",0,"△ 1,466","△ 1,466","66,304"
,,,95,014,2,12,2,08,,委員等旅費,"490,723",0,"△ 9,689","△ 9,689","481,034"
,,,95,014,2,20,3,09,,法廷等器具整備費,"537,295","10,553",0,"10,553","547,848"
,,,95,014,2,12,3,09,,土地建物借料,"102,763",0,"△ 2,925","△ 2,925","99,838"
,,,95,014,2,12,2,08,,職員旅費外12目,"75,827,409",0,0,0,"75,827,409"
,,003,,,,,,,検察審査費,,"325,124",0,△ 788,△ 788,"324,336"
,,,95,014,2,11,1,05,,委員手当,"4,798",0,△ 788,△ 788,"4,010"
,,,95,014,2,12,2,08,,職員旅費外4目,"320,326",0,0,0,"320,326"
,,004,,,,,,,裁判費,,"19,274,476","123,284",0,"123,284","19,397,760"
,,,95,014,2,12,3,09,,裁判庁費,"12,814,016","123,284",0,"123,284","12,937,300"
,,,95,014,2,12,9,06,,諸謝金外11目,"6,460,460",0,0,0,"6,460,460"
,,005,,,,,,,裁判所施設費,,"14,039,433","1,566,155",0,"1,566,155","15,605,588"
,,,95,014,1,20,3,09,,施設施工庁費,"565,958","32,619",0,"32,619","598,577"
,,,95,014,1,20,4,15,,施設整備費,"12,623,977","1,533,536",0,"1,533,536","14,157,513"
,,,95,014,1,20,2,08,,施設施工旅費外1目,"849,498",0,0,0,"849,498"
,,010,,,,,,,裁判所予備経費,,"8,000",0,0,0,"8,000"
会計検査院,会計検査院,,,,,,,,,,"17,128,299",0,"△ 299,164","△ 299,164","16,829,135"
,,001,,,,,,,会計検査院,,"17,061,547",0,"△ 299,164","△ 299,164","16,762,383"
,,,95,016,2,11,1,02,,職員基本給,"6,278,026",0,"△ 28,668","△ 28,668","6,249,358"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"205,275",0,"△ 73,897","△ 73,897","131,378"
,,,95,016,2,11,1,05,,退職手当,"1,549,071",0,"△ 132,134","△ 132,134","1,416,937"
,,,95,016,2,12,2,08,,検査旅費,"547,024",0,"△ 21,584","△ 21,584","525,440"
,,,95,016,2,12,3,09,,庁費,"229,443",0,△ 821,△ 821,"228,622"
,,,95,016,2,12,3,09,,会計検査情報処理業務庁費,"747,050",0,"△ 41,940","△ 41,940","705,110"
,,,95,016,2,72,5,16,,最高会計検査機関国際組織分担金,"3,102",0,△ 120,△ 120,"2,982"
,,,95,016,2,12,9,06,,諸謝金外30目,"7,502,556",0,0,0,"7,502,556"
,,002,,,,,,,会計検査院施設費,,"66,752",0,0,0,"66,752"
内閣,内閣官房,,,,,,,,,,"96,309,074","17,797,807","△ 6,109","17,791,698","114,100,772"
,,001,,,,,,,内閣官房共通費,,"34,410,021","7,842,822",0,"7,842,822","42,252,843"
,,,95,016,2,12,9,06,,諸謝金,"853,653","313,305",0,"313,305","1,166,958"
,,,95,016,2,12,3,09,,情報処理業務庁費,"5,067,049","7,529,517",0,"7,529,517","12,596,566"
,,,95,016,2,12,2,08,,職員旅費外31目,"28,489,319",0,0,0,"28,489,319"
,,002,,,,,,,内閣官房施設費,,"539,313",0,0,0,"539,313"
,,003,,,,,,,情報収集衛星業務費,,"60,888,738","9,954,985","△ 6,109","9,948,876","70,837,614"
,,,95,016,2,12,3,09,,情報収集衛星業務庁費,"7,403,918","872,441",0,"872,441","8,276,359"
,,,95,016,2,12,3,09,,土地建物借料,"32,292",0,"△ 6,010","△ 6,010","26,282"
,,,95,199,2,13,3,09,,自動車重量税,164,0,△ 99,△ 99,65
,,,95,016,2,12,5,14,,情報収集衛星システム開発等委託費,"52,578,376","9,082,544",0,"9,082,544","61,660,920"
,,,95,016,2,12,9,06,,諸謝金外4目,"873,988",0,0,0,"873,988"
,,004,,,,,,,情報収集衛星施設費,,"471,002",0,0,0,"471,002"
,内閣法制局,,,,,,,,,,"1,069,660",0,"△ 27,504","△ 27,504","1,042,156"
,,011,,,,,,,内閣法制局,,"1,069,660",0,"△ 27,504","△ 27,504","1,042,156"
,,,95,016,2,11,1,02,,職員基本給,"482,618",0,"△ 21,719","△ 21,719","460,899"
,,,95,016,2,11,1,03,,職員諸手当,"256,040",0,"△ 5,060","△ 5,060","250,980"
,,,95,089,2,11,1,05,,児童手当,"4,970",0,△ 725,△ 725,"4,245"
,,,95,016,2,12,9,06,,諸謝金外8目,"326,032",0,0,0,"326,032"
,人事院,,,,,,,,,,"11,712,346",0,"△ 65,358","△ 65,358","11,646,988"
,,021,,,,,,,人事院,,"11,712,346",0,"△ 65,358","△ 65,358","11,646,988"
,,,95,016,2,11,1,02,,職員基本給,"3,245,931",0,"△ 30,725","△ 30,725","3,215,206"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"93,706",0,"△ 15,837","△ 15,837","77,869"
,,,95,016,2,11,1,05,,退職手当,"959,252",0,"△ 16,693","△ 16,693","942,559"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"860,765",0,"△ 2,103","△ 2,103","858,662"
,,,95,016,2,12,9,06,,諸謝金外30目,"6,552,692",0,0,0,"6,552,692"
内閣府,内閣本府,,,,,,,,,,"539,358,193","131,820,607","△ 971,125","130,849,482","670,207,675"
,,001,,,,,,,内閣本府共通費,,"26,461,380","874,651","△ 559,845","314,806","26,776,186"
,,,95,016,2,11,1,02,,職員基本給,"6,429,103",0,"△ 155,671","△ 155,671","6,273,432"
,,,95,016,2,11,1,03,,職員諸手当,"3,166,476",0,"△ 16,277","△ 16,277","3,150,199"
,,,95,016,2,11,1,05,,委員手当,"260,082",0,"△ 46,197","△ 46,197","213,885"
,,,95,016,2,11,1,05,,非常勤職員手当,"644,841",0,"△ 51,143","△ 51,143","593,698"
,,,95,016,2,11,1,05,,休職者給与,"126,387",0,"△ 9,796","△ 9,796","116,591"
,,,95,016,2,11,1,05,,国際機関等派遣職員給与,"31,368",0,"△ 7,684","△ 7,684","23,684"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"156,873",0,"△ 21,471","△ 21,471","135,402"
,,,95,016,2,15,1,05,,公務災害補償費,"56,506",0,"△ 16,918","△ 16,918","39,588"
,,,95,016,2,11,1,05,,退職手当,"2,150,193",0,"△ 176,670","△ 176,670","1,973,523"
,,,95,089,2,11,1,05,,児童手当,"83,220",0,"△ 17,935","△ 17,935","65,285"
,,,95,016,2,12,3,09,,庁費,"3,109,755","457,069",0,"457,069","3,566,824"
,,,95,016,2,12,3,09,,情報処理業務庁費,"2,184,349","417,582",0,"417,582","2,601,931"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"3,182,080",0,"△ 40,083","△ 40,083","3,141,997"
,,,95,016,2,12,9,06,,諸謝金外23目,"4,880,147",0,0,0,"4,880,147"
,,002,,,,,,,内閣本府施設費,,"398,608",0,0,0,"398,608"
,,003,,,,,,,公文書等管理政策費,,"52,470",0,0,0,"52,470"
,,004,,,,,,,独立行政法人国立公文書館運営費,,"2,249,284",0,0,0,"2,249,284"
,,005,,,,,,,政府広報費,,"8,297,612","2,818,734","△ 1,604","2,817,130","11,114,742"
,,,95,016,2,11,1,05,,非常勤職員手当,"6,704",0,"△ 1,604","△ 1,604","5,100"
,,,95,016,2,12,3,09,,啓発広報費,"7,593,589","2,818,734",0,"2,818,734","10,412,323"
,,,95,016,2,12,9,06,,諸謝金外3目,"697,319",0,0,0,"697,319"
,,006,,,,,,,遺棄化学兵器廃棄処理事業費,,"31,434,189",0,"△ 18,647","△ 18,647","31,415,542"
,,,95,199,2,11,1,05,,非常勤職員手当,"115,028",0,"△ 18,647","△ 18,647","96,381"
,,,95,199,2,12,9,06,,諸謝金外4目,"31,319,161",0,0,0,"31,319,161"
,,007,,,,,,,経済財政政策費,,"768,339","1,200,000","△ 2,467","1,197,533","1,965,872"
,,,95,016,2,11,1,05,,委員手当,"3,479",0,"△ 1,783","△ 1,783","1,696"
,,,95,016,2,11,1,05,,非常勤職員手当,"6,840",0,△ 684,△ 684,"6,156"
,,,95,016,2,12,3,09,,経済財政政策運営調査費,"11,936","1,200,000",0,"1,200,000","1,211,936"
,,,95,016,2,12,9,06,,諸謝金外10目,"746,084",0,0,0,"746,084"
,,009,,,,,,,地域活性化政策費,,"8,477,559","2,726,639","△ 182,332","2,544,307","11,021,866"
,,,95,016,2,11,1,05,,非常勤職員手当,"73,445",0,"△ 23,362","△ 23,362","50,083"
,,,95,016,2,12,5,14,,地域活性化支援業務委託費,0,"1,598,400",0,"1,598,400","1,598,400"
,,,95,016,2,40,5,16,,地方創生支援事業費補助金,0,"1,128,239",0,"1,128,239","1,128,239"
,,,95,016,2,40,5,16,,国家戦略特区支援利子補給金,"232,120",0,"△ 158,970","△ 158,970","73,150"
,,,95,016,2,12,9,06,,諸謝金外13目,"8,171,994",0,0,0,"8,171,994"
,,172,,,,,,,総合特区推進調整費,,"5,000,000",0,0,0,"5,000,000"
,,198,,,,,,,地方創生加速化推進費,,0,"100,000,000",0,"100,000,000","100,000,000"
,,,95,199,2,81,5,16,,地方創生加速化交付金,0,"100,000,000",0,"100,000,000","100,000,000"
,,011,,,,,,,地域再生推進費,,"43,068,000",0,0,0,"43,068,000"
,,012,,,,,,,科学技術・イノベーション政策費,,"388,293",0,0,0,"388,293"
,,196,,,,,,,科学技術イノベーション創造推進費,,"50,000,000",0,0,0,"50,000,000"
,,186,,,,,,,宇宙開発利用政策費,,"15,037,547","5,035,817","△ 1,846","5,033,971","20,071,518"
,,,95,016,2,11,1,05,,委員手当,"7,192",0,△ 575,△ 575,"6,617"
,,,95,016,2,11,1,05,,非常勤職員手当,"10,075",0,"△ 1,271","△ 1,271","8,804"
,,,95,016,2,12,5,14,,実用準天頂衛星システム開発等委託費,"14,296,839","5,035,817",0,"5,035,817","19,332,656"
,,,95,016,2,12,9,06,,諸謝金外6目,"723,441",0,0,0,"723,441"
,,013,,,,,,,防災政策費,,"4,428,968","893,294","△ 112,659","780,635","5,209,603"
,,,95,016,2,11,1,05,,非常勤職員手当,"16,783",0,"△ 2,410","△ 2,410","14,373"
,,,95,016,2,12,3,09,,災害関係調査費,"1,754,386",0,"△ 110,249","△ 110,249","1,644,137"
,,,95,088,2,86,5,16,,災害救助費等負担金,"201,500","893,294",0,"893,294","1,094,794"
,,,95,016,2,12,2,08,,職員旅費外10目,"2,456,299",0,0,0,"2,456,299"
,,191,,,,,,,原子力災害対策費,,0,"10,000,000",0,"10,000,000","10,000,000"
,,,95,016,2,71,5,16,,原子力災害対策事業費補助金,0,"10,000,000",0,"10,000,000","10,000,000"
,,193,,,,,,,電源開発促進税財源原子力安全規制対策費エネルギー対策特別会計へ繰入,,"13,158,000",0,0,0,"13,158,000"
,,015,,,,,,,沖縄政策費,,"21,564,031","2,523,779",0,"2,523,779","24,087,810"
,,,13,073,2,30,5,16,,沖縄科学技術大学院大学学園補助金,"15,662,380","1,041,902",0,"1,041,902","16,704,282"
,,,13,073,1,30,5,16,,沖縄科学技術大学院大学学園施設整備費補助金,"1,063,927","1,481,877",0,"1,481,877","2,545,804"
,,,95,016,2,12,9,06,,諸謝金外16目,"4,837,724",0,0,0,"4,837,724"
,,187,,,,,,,沖縄振興交付金事業推進費,,"161,759,005","468,458",0,"468,458","162,227,463"
,,,95,199,2,81,5,16,,沖縄振興特別推進交付金,"80,635,438",0,0,0,"80,635,438"
,,,95,199,1,82,5,16,,沖縄振興公共投資交付金,"81,123,567","468,458",0,"468,458","81,592,025"
,,188,,,,,,,沖縄北部連携促進特別振興事業費,,"2,572,000",0,0,0,"2,572,000"
,,189,,,,,,,沖縄振興推進調査費,,"61,714",0,0,0,"61,714"
,,022,,,,,,,沖縄教育振興事業費,,"8,034,480",0,0,0,"8,034,480"
,,023,,,,,,,沖縄保健衛生諸費,,"3,639",0,0,0,"3,639"
,,028,,,,,,,沖縄開発事業費,,"89,581,227","2,430,000",0,"2,430,000","92,011,227"
,,,42,052,1,20,4,00,,地域連携道路事業費,"7,391,000","500,000",0,"500,000","7,891,000"
,,,42,052,1,20,4,00,,道路維持管理費,"4,426,000","20,000",0,"20,000","4,446,000"
,,,43,052,1,20,4,00,,港湾改修費,"9,681,941","1,420,000",0,"1,420,000","11,101,941"
,,,41,051,1,82,5,00,,治山事業費補助,"268,000","13,000",0,"13,000","281,000"
,,,42,052,1,82,5,00,,地域連携道路事業費補助,"810,000","90,000",0,"90,000","900,000"
,,,45,086,1,92,5,00,,水道施設整備費補助,"2,547,000","227,000",0,"227,000","2,774,000"
,,,46,052,1,82,5,00,,農業競争力強化基盤整備事業費補助,"4,618,331","160,000",0,"160,000","4,778,331"
,,,41,051,1,20,4,00,,国有林野内治山事業費外36目,"59,838,955",0,0,0,"59,838,955"
,,190,,,,,,,沖縄北部連携促進特別振興対策特定開発事業推進費,,"2,572,000",0,0,0,"2,572,000"
,,032,,,,,,,共生社会政策費,,"2,324,292","2,497,235","△ 4,981","2,492,254","4,816,546"
,,,95,016,2,11,1,05,,非常勤職員手当,"31,525",0,"△ 4,981","△ 4,981","26,544"
,,,95,016,2,12,9,06,,諸謝金,"1,126,631","100,098",0,"100,098","1,226,729"
,,,95,016,2,81,5,16,,地域子供の未来応援交付金,0,"2,397,137",0,"2,397,137","2,397,137"
,,,95,016,2,12,2,08,,職員旅費外6目,"1,166,136",0,0,0,"1,166,136"
,,033,,,,,,,栄典行政費,,"2,725,895",0,0,0,"2,725,895"
,,034,,,,,,,男女共同参画社会形成促進費,,"356,338","300,000","△ 1,684","298,316","654,654"
,,,95,016,2,11,1,05,,委員手当,"1,170",0,△ 540,△ 540,630
,,,95,016,2,11,1,05,,非常勤職員手当,"11,416",0,"△ 1,144","△ 1,144","10,272"
,,,95,016,2,81,5,16,,地域女性活躍推進交付金,0,"300,000",0,"300,000","300,000"
,,,95,016,2,12,9,06,,諸謝金外4目,"343,752",0,0,0,"343,752"
,,038,,,,,,,食品安全政策費,,"330,161",0,△ 129,△ 129,"330,032"
,,,95,016,2,11,1,05,,委員手当,253,0,△ 129,△ 129,124
,,,95,016,2,12,9,06,,諸謝金外6目,"329,908",0,0,0,"329,908"
,,040,,,,,,,公益法人制度適正運営推進費,,"89,198",0,0,0,"89,198"
,,041,,,,,,,経済社会総合研究所,,"1,993,956",0,"△ 84,917","△ 84,917","1,909,039"
,,,13,073,2,11,1,02,,職員基本給,"730,518",0,"△ 50,703","△ 50,703","679,815"
,,,13,073,2,11,1,03,,職員諸手当,"354,308",0,"△ 25,951","△ 25,951","328,357"
,,,13,073,2,11,1,05,,非常勤職員手当,"12,067",0,"△ 2,814","△ 2,814","9,253"
,,,13,073,2,11,1,05,,短時間勤務職員給与,"27,020",0,"△ 3,465","△ 3,465","23,555"
,,,13,089,2,11,1,05,,児童手当,"5,495",0,△ 810,△ 810,"4,685"
,,,13,073,2,12,3,09,,試験研究費,"424,773",0,"△ 1,174","△ 1,174","423,599"
,,,13,073,2,12,9,06,,諸謝金外10目,"439,775",0,0,0,"439,775"
,,042,,,,,,,迎賓施設運営費,,"866,235",0,0,0,"866,235"
,,054,,,,,,,沖縄農業生産基盤保全管理・整備事業調査諸費,,"54,308",0,0,0,"54,308"
,,047,,,,,,,沖縄空港整備事業費自動車安全特別会計へ繰入,,"18,640,465","52,000",△ 14,"51,986","18,692,451"
,,,43,052,1,92,6,00,,空港整備事業財源自動車安全特別会計へ繰入,"18,640,465","52,000",△ 14,"51,986","18,692,451"
,,049,,,,,,,航空機燃料税財源沖縄空港整備事業費自動車安全特別会計へ繰入,,"16,609,000",0,0,0,"16,609,000"
,北方対策本部,,,,,,,,,,"1,605,500",0,"△ 4,532","△ 4,532","1,600,968"
,,061,,,,,,,北方対策本部,,"395,994",0,"△ 4,532","△ 4,532","391,462"
,,,95,016,2,11,1,02,,職員基本給,"67,712",0,"△ 2,595","△ 2,595","65,117"
,,,95,016,2,11,1,03,,職員諸手当,"34,826",0,"△ 1,701","△ 1,701","33,125"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"7,919",0,△ 236,△ 236,"7,683"
,,,95,016,2,12,9,06,,諸謝金外5目,"285,537",0,0,0,"285,537"
,,062,,,,,,,独立行政法人北方領土問題対策協会運営費,,"1,209,506",0,0,0,"1,209,506"
,子ども・子育て本部,,,,,,,,,,"1,890,578,334","14,603,804","△ 10,567,285","4,036,519","1,894,614,853"
,,211,,,,,,,子ども・子育て本部,,"542,301","3,592,300","△ 30,795","3,561,505","4,103,806"
,,,95,016,2,11,1,02,,職員基本給,"128,212",0,"△ 22,999","△ 22,999","105,213"
,,,95,016,2,11,1,03,,職員諸手当,"56,092",0,"△ 2,798","△ 2,798","53,294"
,,,95,016,2,11,1,05,,委員手当,"5,661",0,"△ 2,105","△ 2,105","3,556"
,,,95,016,2,11,1,05,,非常勤職員手当,"10,541",0,△ 233,△ 233,"10,308"
,,,95,089,2,11,1,05,,児童手当,"4,140",0,"△ 2,660","△ 2,660","1,480"
,,,95,199,2,85,5,16,,結婚新生活支援事業費補助金,0,"1,093,500",0,"1,093,500","1,093,500"
,,,95,016,2,81,5,16,,地域少子化対策重点推進交付金,0,"2,498,800",0,"2,498,800","2,498,800"
,,,95,016,2,12,9,06,,諸謝金外5目,"337,655",0,0,0,"337,655"
,,212,,,,,,,子どものための教育・保育給付,,"608,985,513","11,011,504",0,"11,011,504","619,997,017"
,,,04,083,2,81,5,16,,子どものための教育・保育給付費補助金,"15,994,632",0,0,0,"15,994,632"
,,,04,083,2,81,5,16,,子どものための教育・保育事業費補助金,0,"1,741,000",0,"1,741,000","1,741,000"
,,,04,083,2,81,5,16,,子どものための教育・保育給付費負担金,"592,990,881","9,270,504",0,"9,270,504","602,261,385"
,,213,,,,,,,子ども・子育て支援年金特別会計へ繰入,,"1,281,050,520",0,"△ 10,536,490","△ 10,536,490","1,270,514,030"
,,,04,089,2,30,6,22,,年金特別会計へ繰入,"51,684,244",0,"△ 3,901,386","△ 3,901,386","47,782,858"
,,,04,089,2,30,6,22,,児童手当年金特別会計へ繰入,"1,185,801,280",0,"△ 6,635,104","△ 6,635,104","1,179,166,176"
,,,04,089,2,30,6,22,,地域子ども・子育て支援事業年金特別会計へ繰入,"43,564,996",0,0,0,"43,564,996"
,国際平和協力本部,,,,,,,,,,"591,528",0,"△ 25,257","△ 25,257","566,271"
,,071,,,,,,,国際平和協力本部,,"591,528",0,"△ 25,257","△ 25,257","566,271"
,,,95,016,2,11,1,02,,職員基本給,"118,319",0,"△ 1,061","△ 1,061","117,258"
,,,95,016,2,11,1,03,,職員諸手当,"98,044",0,"△ 15,932","△ 15,932","82,112"
,,,95,016,2,11,1,05,,非常勤職員手当,"38,300",0,"△ 7,834","△ 7,834","30,466"
,,,95,089,2,11,1,05,,児童手当,"1,680",0,△ 430,△ 430,"1,250"
,,,95,016,2,12,9,06,,諸謝金外9目,"335,185",0,0,0,"335,185"
,日本学術会議,,,,,,,,,,"1,013,134",0,"△ 22,379","△ 22,379","990,755"
,,081,,,,,,,日本学術会議,,"1,013,134",0,"△ 22,379","△ 22,379","990,755"
,,,95,072,2,11,1,02,,職員基本給,"256,561",0,"△ 15,653","△ 15,653","240,908"
,,,95,072,2,11,1,03,,職員諸手当,"123,466",0,"△ 4,413","△ 4,413","119,053"
,,,95,072,2,11,1,05,,非常勤職員手当,"11,280",0,"△ 1,170","△ 1,170","10,110"
,,,95,072,2,11,1,05,,短時間勤務職員給与,"8,252",0,△ 623,△ 623,"7,629"
,,,95,089,2,11,1,05,,児童手当,"2,130",0,△ 520,△ 520,"1,610"
,,,95,072,2,12,9,06,,諸謝金外15目,"611,445",0,0,0,"611,445"
,官民人材交流センター,,,,,,,,,,"286,091",0,"△ 1,978","△ 1,978","284,113"
,,091,,,,,,,官民人材交流センター,,"286,091",0,"△ 1,978","△ 1,978","284,113"
,,,95,016,2,11,1,02,,職員基本給,"108,563",0,△ 718,△ 718,"107,845"
,,,95,016,2,11,1,03,,職員諸手当,"54,309",0,"△ 1,122","△ 1,122","53,187"
,,,95,016,2,11,1,05,,非常勤職員手当,836,0,△ 13,△ 13,823
,,,95,089,2,11,1,05,,児童手当,960,0,△ 125,△ 125,835
,,,95,016,2,12,9,06,,諸謝金外6目,"121,423",0,0,0,"121,423"
,沖縄総合事務局,,,,,,,,,,"10,888,139",0,"△ 218,799","△ 218,799","10,669,340"
,,101,,,,,,,沖縄総合事務局,,"5,453,139",0,"△ 7,643","△ 7,643","5,445,496"
,,,95,016,2,11,1,02,,職員基本給,"2,560,952",0,"△ 7,643","△ 7,643","2,553,309"
,,,95,016,2,12,9,06,,諸謝金外20目,"2,892,187",0,0,0,"2,892,187"
,,108,,,,,,,沖縄海岸事業調査諸費,,"3,500",0,0,0,"3,500"
,,102,,,,,,,沖縄治水事業工事諸費,,"1,796,116",0,"△ 53,034","△ 53,034","1,743,082"
,,,41,051,1,20,1,02,,職員基本給,"181,099",0,"△ 3,584","△ 3,584","177,515"
,,,41,051,1,20,1,03,,職員諸手当,"96,621",0,"△ 1,680","△ 1,680","94,941"
,,,41,051,1,15,1,05,,公務災害補償費,"3,122",0,△ 366,△ 366,"2,756"
,,,41,051,1,20,1,05,,退職手当,"70,295",0,"△ 44,369","△ 44,369","25,926"
,,,41,089,1,11,1,05,,児童手当,"8,220",0,"△ 2,145","△ 2,145","6,075"
,,,41,051,1,20,5,16,,国家公務員共済組合負担金,"44,778",0,△ 890,△ 890,"43,888"
,,,41,051,1,20,9,06,,諸謝金外14目,"1,391,981",0,0,0,"1,391,981"
,,109,,,,,,,沖縄道路整備事業工事諸費,,"1,528,000",0,"△ 81,146","△ 81,146","1,446,854"
