所管,組織,,,,,,,,,                        項目,令和2年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
,,,95,012,2,72,5,16,,列国議会同盟分担金,"103,191","114,051","△ 10,860"
,,,95,012,2,12,9,17,,交際費,"59,138","58,601",537
,,,95,012,2,95,9,18,,賠償償還及払戻金,"2,467","2,467",0
,,002,,,,,,,衆議院施設費,,"1,673,079","9,162,656","△ 7,489,577"
,,,95,012,1,20,2,08,,施設施工旅費,694,705,△ 11
,,,95,012,1,20,3,09,,施設施工庁費,"110,447","27,212","83,235"
,,,95,012,1,20,4,15,,施設整備費,"976,808","1,025,942","△ 49,134"
,,,95,012,1,20,4,15,,不動産購入費,"585,130","8,108,797","△ 7,523,667"
,,009,,,,,,,衆議院予備経費,,"7,000","7,000",0
,,,95,012,2,95,9,99,,(国会予備経費),"7,000","7,000",0
,参議院,,,,,,,,,,"41,389,032","48,942,029","△ 7,552,997"
,,011,,,,,,,参議院,,"39,758,401","40,295,159","△ 536,758"
,,,95,012,2,11,1,01,,議員歳費,"5,387,061","5,335,640","51,421"
,,,95,012,2,11,1,02,,職員基本給,"6,560,077","6,554,603","5,474"
,,,95,012,2,11,1,03,,職員諸手当,"3,420,234","3,399,101","21,133"
,,,95,012,2,11,1,04,,超過勤務手当,"1,121,991","1,125,216","△ 3,225"
,,,95,012,2,11,1,05,,議員秘書手当,"6,533,928","6,599,964","△ 66,036"
,,,95,012,2,11,1,05,,非常勤職員手当,"177,726","176,342","1,384"
,,,95,012,2,11,1,05,,休職者給与,"36,608","35,596","1,012"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"105,903","83,135","22,768"
,,,95,012,2,15,1,05,,公務災害補償費,"2,848","2,848",0
,,,95,012,2,11,1,05,,退職手当,"1,049,610","1,409,155","△ 359,545"
,,,95,012,2,11,1,05,,議員秘書退職手当,"188,501","842,578","△ 654,077"
,,,95,012,2,15,1,05,,弔慰金,"41,408","41,408",0
,,,95,089,2,11,1,05,,児童手当,"46,880","47,670",△ 790
,,,95,012,2,12,9,06,,諸謝金,"4,517","4,517",0
,,,95,012,2,12,2,08,,議員旅費,"162,619","162,293",326
,,,95,012,2,12,2,08,,議員文書通信交通滞在費,"2,940,000","2,990,000","△ 50,000"
,,,95,012,2,12,2,08,,議会雑費,"29,700","29,700",0
,,,95,012,2,12,2,08,,職員旅費,"87,744","87,595",149
,,,95,012,2,12,2,08,,赴任旅費,"2,724","2,699",25
,,,95,012,2,12,2,08,,証人等旅費,"10,779","10,680",99
,,,95,012,2,12,3,09,,庁費,"565,441","579,705","△ 14,264"
,,,95,012,2,12,3,09,,情報処理業務庁費,"1,110,007","1,164,630","△ 54,623"
,,,95,012,2,12,3,09,,議員会館管理等運営庁費,"2,725,181","2,773,722","△ 48,541"
,,,95,012,2,12,3,09,,議員特殊乗車券等購入費,"472,860","459,593","13,267"
,,,95,012,2,12,3,09,,国会活動啓発費,"18,850","18,714",136
,,,95,012,2,12,3,09,,議案類印刷費,"329,497","416,543","△ 87,046"
,,,95,012,2,12,3,09,,招へい外国人滞在費,"51,812","51,342",470
,,,95,012,2,12,3,09,,各所修繕,"62,787","62,216",571
,,,95,012,2,12,3,09,,国政調査活動費,"186,140","184,675","1,465"
,,,95,012,2,12,3,09,,公共施設等維持管理運営費,"1,847,890","1,139,764","708,126"
,,,95,199,2,13,3,09,,自動車重量税,827,930,△ 103
,,,95,012,2,12,3,11,,立法事務費,"1,911,000","1,903,200","7,800"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,748,683","1,798,018","△ 49,335"
,,,95,012,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"421,207","424,622","△ 3,415"
,,,95,012,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,438,505,△ 67
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"361,546","343,145","18,401"
,,,95,012,2,12,9,17,,交際費,"31,017","30,735",282
,,,95,012,2,95,9,18,,賠償償還及払戻金,"2,360","2,360",0
,,012,,,,,,,参議院施設費,,"1,625,631","8,641,870","△ 7,016,239"
,,,95,012,1,20,2,08,,施設施工旅費,875,891,△ 16
,,,95,012,1,20,3,09,,施設施工庁費,"73,493","64,777","8,716"
,,,95,012,1,20,4,15,,施設整備費,"1,551,263","4,307,765","△ 2,756,502"
,,,95,012,1,20,4,15,,不動産購入費,0,"4,268,437","△ 4,268,437"
,,019,,,,,,,参議院予備経費,,"5,000","5,000",0
,,,95,012,2,95,9,99,,(国会予備経費),"5,000","5,000",0
,国立国会図書館,,,,,,,,,,"20,216,345","27,279,003","△ 7,062,658"
,,021,,,,,,,国立国会図書館,,"19,014,252","18,640,985","373,267"
,,,95,012,2,11,1,02,,職員基本給,"4,681,145","4,667,141","14,004"
,,,95,012,2,11,1,03,,職員諸手当,"2,554,047","2,500,241","53,806"
,,,95,012,2,11,1,04,,超過勤務手当,"480,087","473,969","6,118"
,,,95,012,2,11,1,05,,非常勤職員手当,"213,760","212,371","1,389"
,,,95,012,2,11,1,05,,休職者給与,"37,126","34,483","2,643"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"58,217","57,444",773
,,,95,012,2,15,1,05,,公務災害補償費,"3,227","2,100","1,127"
,,,95,012,2,11,1,05,,退職手当,"656,079","653,858","2,221"
,,,95,089,2,11,1,05,,児童手当,"25,550","25,520",30
,,,95,012,2,12,9,06,,諸謝金,"22,225","22,225",0
,,,95,012,2,12,2,08,,職員旅費,"57,483","57,363",120
,,,95,012,2,12,2,08,,赴任旅費,"10,200","10,108",92
,,,95,012,2,12,2,08,,委員等旅費,"3,253","3,217",36
,,,95,012,2,12,2,08,,外国人招へい旅費,"4,921","4,921",0
,,,95,012,2,12,3,09,,庁費,"61,162","60,959",203
,,,95,012,2,12,3,09,,国立国会図書館業務庁費,"4,667,202","4,330,622","336,580"
,,,95,012,2,12,3,09,,図書館資料購入費,"775,764","768,792","6,972"
,,,95,012,2,12,3,09,,立法資料購入費,"63,904","63,330",574
,,,13,012,2,12,3,09,,科学技術関係資料費,"1,145,341","1,135,971","9,370"
,,,95,012,2,12,3,09,,特殊文書関係資料整備費,"68,783","68,158",625
,,,95,012,2,12,3,09,,電子計算機等借料,"1,453,076","1,506,536","△ 53,460"
,,,95,012,2,12,3,09,,招へい外国人滞在費,"4,557","4,517",40
,,,95,012,2,12,3,09,,各所修繕,"78,757","77,704","1,053"
,,,95,199,2,13,3,09,,自動車重量税,87,62,25
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,189,145","1,200,135","△ 10,990"
,,,95,012,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"287,776","289,671","△ 1,895"
,,,95,012,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,492,277,215
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"2,758","2,793",△ 35
,,,95,012,2,72,5,16,,国際図書館連盟等拠出金,"9,957","11,946","△ 1,989"
,,,95,012,2,12,9,17,,交際費,651,645,6
,,,95,012,2,95,9,18,,賠償償還及払戻金,44,44,0
,,,95,012,2,95,9,20,,納入出版物代償金,"397,476","393,862","3,614"
,,022,,,,,,,国立国会図書館施設費,,"1,202,093","8,638,018","△ 7,435,925"
,,,95,012,1,20,2,08,,施設施工旅費,209,"1,831","△ 1,622"
,,,95,012,1,20,3,09,,施設施工庁費,"28,411","62,150","△ 33,739"
,,,95,012,1,20,4,15,,施設整備費,"1,173,473","8,574,037","△ 7,400,564"
,裁判官訴追委員会,,,,,,,,,,"138,464","133,372","5,092"
,,031,,,,,,,裁判官訴追委員会,,"138,464","133,372","5,092"
,,,95,012,2,11,1,02,,職員基本給,"76,397","73,151","3,246"
,,,95,012,2,11,1,03,,職員諸手当,"39,208","37,392","1,816"
,,,95,012,2,11,1,04,,超過勤務手当,"4,599","4,457",142
,,,95,012,2,11,1,05,,非常勤職員手当,"8,700","8,830",△ 130
,,,95,089,2,11,1,05,,児童手当,"1,680","1,620",60
,,,95,012,2,12,9,06,,諸謝金,100,100,0
,,,95,012,2,12,2,08,,職務雑費,900,900,0
,,,95,012,2,12,2,08,,職員旅費,904,896,8
,,,95,012,2,12,2,08,,委員旅費,907,899,8
,,,95,012,2,12,2,08,,証人等旅費,330,327,3
,,,95,012,2,12,3,09,,庁費,"4,739","4,800",△ 61
,裁判官弾劾裁判所,,,,,,,,,,"114,197","112,881","1,316"
,,041,,,,,,,裁判官弾劾裁判所,,"114,197","112,881","1,316"
,,,95,012,2,11,1,02,,職員基本給,"66,948","66,071",877
,,,95,012,2,11,1,03,,職員諸手当,"37,094","36,475",619
,,,95,012,2,11,1,04,,超過勤務手当,"3,024","2,954",70
,,,95,089,2,11,1,05,,児童手当,840,780,60
,,,95,012,2,12,9,06,,諸謝金,159,159,0
,,,95,012,2,12,2,08,,職務雑費,900,900,0
,,,95,012,2,12,2,08,,職員旅費,407,399,8
,,,95,012,2,12,2,08,,委員旅費,281,276,5
,,,95,012,2,12,2,08,,証人等旅費,44,43,1
,,,95,012,2,12,3,09,,庁費,"4,500","4,804",△ 304
,,,95,199,2,13,3,09,,自動車重量税,0,20,△ 20
裁判所,裁判所,,,,,,,,,,"326,624,181","325,574,308","1,049,873"
,,001,,,,,,,最高裁判所,,"80,917,362","80,198,012","719,350"
,,,95,014,2,11,1,02,,職員基本給,"5,357,396","5,334,981","22,415"
,,,95,014,2,11,1,03,,職員諸手当,"2,865,716","2,806,712","59,004"
,,,95,014,2,11,1,04,,超過勤務手当,"750,836","737,255","13,581"
,,,95,014,2,11,1,05,,委員手当,"15,761","15,761",0
,,,95,014,2,11,1,05,,非常勤職員手当,"8,507","8,507",0
,,,95,014,2,11,1,05,,休職者給与,"451,628","526,237","△ 74,609"
,,,95,014,2,11,1,05,,短時間勤務職員給与,"1,884","1,866",18
,,,95,014,2,15,1,05,,公務災害補償費,"91,159","122,718","△ 31,559"
,,,95,014,2,11,1,05,,退職手当,"19,922,450","18,726,855","1,195,595"
,,,95,089,2,11,1,05,,児童手当,"66,005","64,040","1,965"
,,,95,014,2,12,9,06,,諸謝金,"235,744","234,886",858
,,,95,014,2,71,9,06,,修習給付金,"3,314,835","3,363,235","△ 48,400"
,,,95,014,2,12,2,08,,職員旅費,"662,849","694,613","△ 31,764"
,,,95,014,2,12,2,08,,外国留学旅費,"62,197","60,850","1,347"
,,,95,014,2,12,2,08,,赴任旅費,"542,233","548,517","△ 6,284"
,,,95,014,2,12,2,08,,委員等旅費,"11,479","11,146",333
,,,95,014,2,12,2,08,,司法修習生旅費,"120,553","121,056",△ 503
,,,95,014,2,12,2,08,,外国人招へい旅費,"6,387","3,889","2,498"
,,,95,014,2,12,2,08,,証人等旅費,12,12,0
,,,95,014,2,12,3,09,,庁費,"1,184,995","1,195,394","△ 10,399"
,,,95,014,2,12,3,09,,情報処理業務庁費,"621,932","585,337","36,595"
,,,95,014,2,12,3,09,,国有財産管理処分庁費,"54,340",0,"54,340"
,,,95,014,2,12,3,09,,裁判資料整備費,"591,425","513,354","78,071"
,,,95,014,2,12,3,09,,研修費,"434,036","445,305","△ 11,269"
,,,95,014,2,12,3,09,,国会図書館支部庁費,"46,665","46,257",408
,,,95,014,2,12,3,09,,裁判官等法服費,"4,490","6,724","△ 2,234"
,,,95,014,2,12,3,09,,招へい外国人滞在費,"3,128","2,515",613
,,,95,014,2,12,3,09,,各所修繕,"1,107,120","1,091,125","15,995"
,,,95,199,2,13,3,09,,自動車重量税,481,303,178
,,,95,014,2,12,5,14,,司法修習生研修委託費,"100,648","99,275","1,373"
,,,95,014,2,11,5,16,,国家公務員共済組合負担金,"33,176,591","33,407,607","△ 231,016"
,,,95,014,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"7,901,205","7,987,549","△ 86,344"
,,,95,014,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,"12,164","10,515","1,649"
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"170,368","166,337","4,031"
,,,95,014,2,72,5,16,,国際裁判官連合分担金,391,409,△ 18
,,,95,014,2,12,9,17,,交際費,"2,114","2,114",0
,,,95,014,2,95,9,18,,賠償償還及払戻金,"12,388","239,606","△ 227,218"
,,,95,014,2,95,9,23,,修習資金貸与金,"1,005,250","1,015,150","△ 9,900"
,,002,,,,,,,下級裁判所,,"208,654,957","207,825,046","829,911"
,,,95,014,2,11,1,02,,職員基本給,"126,841,708","126,701,102","140,606"
,,,95,014,2,11,1,03,,職員諸手当,"63,608,369","63,046,065","562,304"
,,,95,014,2,11,1,04,,超過勤務手当,"3,564,725","3,548,635","16,090"
,,,95,014,2,11,1,05,,委員手当,"6,730,477","6,928,912","△ 198,435"
,,,95,014,2,11,1,05,,非常勤職員手当,"110,901","110,901",0
,,,95,014,2,11,1,05,,短時間勤務職員給与,"10,932","10,887",45
,,,95,089,2,11,1,05,,児童手当,"936,870","972,005","△ 35,135"
,,,95,014,2,12,9,06,,諸謝金,"76,336","77,756","△ 1,420"
,,,95,014,2,12,2,08,,職員旅費,"225,006","235,204","△ 10,198"
,,,95,014,2,12,2,08,,委員等旅費,"435,208","442,131","△ 6,923"
,,,95,014,2,12,3,09,,庁費,"5,255,932","5,153,493","102,439"
,,,95,014,2,12,3,09,,情報処理業務庁費,"118,234","117,295",939
,,,95,014,2,12,3,09,,国有財産管理処分庁費,"142,279","21,142","121,137"
,,,95,014,2,20,3,09,,法廷等器具整備費,"577,708","442,655","135,053"
,,,95,014,2,12,3,09,,土地建物借料,"16,349","13,847","2,502"
,,,95,199,2,13,3,09,,自動車重量税,"2,761","1,864",897
,,,95,014,2,12,9,17,,交際費,"1,162","1,152",10
,,003,,,,,,,検察審査費,,"302,934","298,471","4,463"
,,,95,014,2,11,1,05,,委員手当,"4,329","3,131","1,198"
,,,95,014,2,12,9,06,,諸謝金,248,186,62
,,,95,014,2,12,2,08,,職員旅費,527,523,4
,,,95,014,2,12,2,08,,委員等旅費,181,129,52
,,,95,014,2,12,2,08,,検察審査員旅費,"241,725","246,155","△ 4,430"
,,,95,014,2,12,2,08,,証人等旅費,142,139,3
,,,95,014,2,12,3,09,,庁費,"55,782","48,208","7,574"
,,004,,,,,,,裁判費,,"19,716,454","19,764,433","△ 47,979"
,,,95,014,2,12,9,06,,諸謝金,"2,152,844","2,139,696","13,148"
,,,95,014,2,12,2,08,,裁判旅費,"277,277","267,979","9,298"
,,,95,014,2,12,2,08,,執行官旅費,"43,636","43,904",△ 268
,,,95,014,2,12,2,08,,委員等旅費,"1,499,366","1,526,638","△ 27,272"
,,,95,014,2,12,2,08,,証人等旅費,"202,356","174,803","27,553"
,,,95,014,2,12,3,09,,裁判庁費,"13,852,185","14,055,069","△ 202,884"
,,,95,014,2,12,3,09,,特別送達料,"575,945","588,511","△ 12,566"
,,,95,014,2,12,3,09,,身柄拘束者食糧費,424,416,8
,,,95,014,2,12,5,14,,少年補導委託費,"173,679","159,138","14,541"
,,,95,014,2,95,9,18,,賠償償還及払戻金,"277,694","314,241","△ 36,547"
,,,95,014,2,95,9,19,,保証金,"10,000","10,000",0
,,,95,014,2,95,9,20,,刑事補償金,"641,027","474,017","167,010"
,,,95,014,2,95,9,20,,少年補償金,"10,021","10,021",0
,,005,,,,,,,裁判所施設費,,"17,024,474","17,480,346","△ 455,872"
,,,95,014,1,20,2,08,,施設施工旅費,"74,105","92,021","△ 17,916"
,,,95,014,1,20,3,09,,施設施工庁費,"765,676","534,087","231,589"
,,,95,014,1,20,4,15,,施設整備費,"16,184,693","16,513,228","△ 328,535"
,,,95,014,1,94,4,15,,不動産購入費,0,"341,010","△ 341,010"
,,009,,,,,,,裁判所予備経費,,"8,000","8,000",0
,,,95,014,2,95,9,99,,(裁判所予備経費),"8,000","8,000",0
会計検査院,会計検査院,,,,,,,,,,"17,099,094","17,719,957","△ 620,863"
,,001,,,,,,,会計検査院,,"17,020,964","17,696,842","△ 675,878"
,,,95,016,2,11,1,02,,職員基本給,"6,161,393","6,218,624","△ 57,231"
,,,95,016,2,11,1,03,,職員諸手当,"3,298,484","3,358,085","△ 59,601"
,,,95,016,2,11,1,04,,超過勤務手当,"979,193","980,940","△ 1,747"
,,,95,016,2,11,1,05,,委員手当,"1,415","1,415",0
,,,95,016,2,11,1,05,,非常勤職員手当,"15,948","12,736","3,212"
,,,95,016,2,11,1,05,,休職者給与,"21,882","12,040","9,842"
,,,95,016,2,11,1,05,,国際機関等派遣職員給与,219,233,△ 14
,,,95,016,2,11,1,05,,短時間勤務職員給与,"229,467","229,324",143
,,,95,016,2,15,1,05,,公務災害補償費,"15,255","13,382","1,873"
,,,95,016,2,11,1,05,,退職手当,"1,239,130","1,669,290","△ 430,160"
,,,95,089,2,11,1,05,,児童手当,"47,935","48,105",△ 170
,,,95,016,2,12,9,06,,諸謝金,"8,023","8,027",△ 4
,,,95,016,2,12,2,08,,職員旅費,"52,902","55,114","△ 2,212"
,,,95,016,2,12,2,08,,検査旅費,"459,180","459,180",0
,,,95,016,2,12,2,08,,外国留学旅費,"8,045","6,327","1,718"
,,,95,016,2,12,2,08,,赴任旅費,"10,627","6,679","3,948"
,,,95,016,2,12,2,08,,委員等旅費,"3,936","3,765",171
,,,95,016,2,12,2,08,,外国人招へい旅費,"10,409","8,658","1,751"
,,,95,016,2,12,3,09,,庁費,"239,938","239,938",0
,,,95,016,2,12,3,09,,研修所庁費,"117,201","111,631","5,570"
,,,95,016,2,12,3,09,,会計検査情報処理業務庁費,"931,321","1,040,421","△ 109,100"
,,,95,016,2,12,3,09,,国会図書館支部庁費,"1,535","1,168",367
,,,95,016,2,12,3,09,,通信専用料,829,822,7
,,,95,016,2,12,3,09,,電子計算機等借料,"216,836","245,366","△ 28,530"
,,,95,016,2,12,3,09,,招へい外国人滞在費,"1,293","1,015",278
,,,95,016,2,12,3,09,,各所修繕,"15,525","15,527",△ 2
,,,95,016,2,12,3,09,,会計検査活動費,"249,909","238,897","11,012"
,,,95,016,2,12,3,09,,民間資金等活用事業調査費,"23,035","6,570","16,465"
,,,95,016,2,12,3,09,,公共施設等維持管理運営費,"506,921","497,066","9,855"
,,,95,016,2,12,3,09,,官民区分所有施設維持管理運営費,"125,114","123,048","2,066"
,,,95,199,2,13,3,09,,自動車重量税,181,127,54
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"1,607,074","1,659,694","△ 52,620"
,,,95,016,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"411,766","414,863","△ 3,097"
,,,95,016,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,249,331,△ 82
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,227,246,△ 19
,,,95,016,2,72,5,16,,最高会計検査機関国際組織分担金,"2,842","2,634",208
,,,95,016,2,72,5,16,,最高会計検査機関国際組織拠出金,"4,950","4,950",0
,,,95,016,2,12,9,17,,交際費,765,594,171
,,,95,016,2,95,9,18,,賠償償還及払戻金,10,10,0
,,002,,,,,,,会計検査院施設費,,"78,130","23,115","55,015"
,,,95,016,1,20,2,08,,施設施工旅費,780,286,494
,,,95,016,1,20,3,09,,施設施工庁費,"15,308","2,146","13,162"
,,,95,016,1,20,4,15,,施設整備費,"62,042","20,683","41,359"
内閣,内閣官房,,,,,,,,,,"165,749,176","98,404,449","67,344,727"
,,001,,,,,,,内閣官房共通費,,"33,972,171","34,624,113","△ 651,942"
,,,95,016,2,11,1,02,,職員基本給,"6,872,500","6,662,895","209,605"
,,,95,016,2,11,1,03,,職員諸手当,"3,640,223","3,516,981","123,242"
,,,95,016,2,11,1,04,,超過勤務手当,"1,095,190","1,064,261","30,929"
,,,95,016,2,11,1,05,,委員手当,"14,457","17,510","△ 3,053"
,,,95,016,2,11,1,05,,非常勤職員手当,"1,085,759","901,340","184,419"
,,,95,016,2,11,1,05,,休職者給与,"16,936","16,926",10
,,,95,016,2,11,1,05,,短時間勤務職員給与,"181,511","165,619","15,892"
,,,95,016,2,11,1,05,,退職手当,"1,071,027","1,171,842","△ 100,815"
,,,95,089,2,11,1,05,,児童手当,"64,935","64,935",0
,,,95,016,2,12,9,06,,諸謝金,"1,430,395","1,186,438","243,957"
,,,95,016,2,95,9,07,,報償費,"1,461,652","1,461,652",0
,,,95,016,2,12,2,08,,職員旅費,"730,838","705,048","25,790"
,,,95,016,2,12,2,08,,外国留学旅費,"4,266","3,514",752
,,,95,016,2,12,2,08,,赴任旅費,"5,611","5,046",565
,,,95,016,2,12,2,08,,委員等旅費,"147,252","153,314","△ 6,062"
,,,95,016,2,12,2,08,,外国人招へい旅費,"4,873","4,873",0
,,,95,016,2,12,3,09,,庁費,"2,144,432","2,191,632","△ 47,200"
,,,95,016,2,12,3,09,,情報処理業務庁費,"5,793,875","7,008,925","△ 1,215,050"
,,,95,016,2,12,3,09,,総理大臣官邸業務庁費,"1,986,109","1,961,130","24,979"
,,,95,016,2,12,3,09,,拉致問題対策庁費,"556,152","546,059","10,093"
,,,95,016,2,12,3,09,,電子計算機等借料,"456,284","459,379","△ 3,095"
,,,95,016,2,12,3,09,,土地建物借料,"405,115","349,749","55,366"
,,,95,016,2,12,3,09,,各所修繕,"53,558","32,960","20,598"
,,,95,016,2,12,3,09,,拉致問題対策情報収集等活動費,"600,000","600,000",0
,,,95,016,2,12,3,09,,国家安全保障政策活動費,"120,000","120,000",0
,,,95,016,2,12,3,09,,国際テロ情報収集等活動費,"420,000","420,000",0
,,,95,199,2,13,3,09,,自動車重量税,"1,032",897,135
,,,95,016,2,12,5,14,,重要政策基礎調査委託費,"195,029","383,525","△ 188,496"
,,,95,016,2,12,5,14,,情報調査委託費,"757,954","757,954",0
,,,95,016,2,12,5,14,,サイバーセキュリティ施策評価事務委託費,"31,915","202,900","△ 170,985"
,,,95,016,2,12,5,14,,サイバーセキュリティ協議会連絡調整事務委託費,"98,633",0,"98,633"
,,,95,016,2,12,5,14,,健康・医療戦略推進調査委託費,0,"105,621","△ 105,621"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"2,073,407","1,931,056","142,351"
,,,95,016,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"439,165","438,039","1,126"
,,,95,016,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,45,52,△ 7
,,,95,016,2,12,9,17,,交際費,"11,841","11,841",0
,,,95,016,2,95,9,18,,賠償償還及払戻金,200,200,0
,,002,,,,,,,内閣官房施設費,,"1,856,929","1,705,428","151,501"
,,,95,016,1,20,2,08,,施設施工旅費,725,949,△ 224
,,,95,016,1,20,3,09,,施設施工庁費,"76,690","78,052","△ 1,362"
,,,95,016,1,20,4,15,,施設整備費,"1,779,514","1,626,427","153,087"
,,005,,,,,,,情報通信技術調達等適正・効率化推進費,,"67,388,003",0,"67,388,003"
,,,95,016,2,12,3,09,,情報処理業務庁費,"62,400,978",0,"62,400,978"
,,,95,016,2,12,5,14,,情報通信技術調達等適正・効率化推進委託費,"4,987,025",0,"4,987,025"
,,003,,,,,,,情報収集衛星業務費,,"59,056,153","60,124,479","△ 1,068,326"
,,,95,016,2,12,9,06,,諸謝金,"141,940","137,705","4,235"
,,,95,016,2,12,2,08,,職員旅費,"76,781","77,362",△ 581
,,,95,016,2,12,2,08,,外国留学旅費,"3,111",0,"3,111"
,,,95,016,2,12,2,08,,委員等旅費,829,926,△ 97
,,,95,016,2,12,3,09,,情報収集衛星業務庁費,"12,975,163","13,036,413","△ 61,250"
,,,95,016,2,12,3,09,,通信専用料,"1,353,233","1,568,667","△ 215,434"
,,,95,016,2,12,3,09,,土地建物借料,"23,700","23,700",0
,,,95,016,2,12,3,09,,各所修繕,"31,294","18,188","13,106"
,,,95,199,2,13,3,09,,自動車重量税,45,0,45
