所管,組織,,,,,,,,                             項目,,"令和元年度
成立予算額(千円)",補正要求,,,"改令和元年度
予算額(千円)"
,,,95,012,1,20,2,08,,施設施工旅費外1目,"4,269,328",0,0,0,"4,269,328"
,,019,,,,,,,参議院予備経費,,"5,000",0,0,0,"5,000"
,国立国会図書館,,,,,,,,,,"27,279,003","336,003","△ 4,432","331,571","27,610,574"
,,021,,,,,,,国立国会図書館,,"18,640,985","336,003","△ 4,432","331,571","18,972,556"
,,,95,012,2,11,1,02,,職員基本給,"4,667,141",0,△ 645,△ 645,"4,666,496"
,,,95,012,2,12,3,09,,国立国会図書館業務庁費,"4,330,622","336,003",0,"336,003","4,666,625"
,,,95,012,2,12,3,09,,電子計算機等借料,"1,506,536",0,"△ 3,787","△ 3,787","1,502,749"
,,,95,012,2,12,9,06,,諸謝金外28目,"8,136,686",0,0,0,"8,136,686"
,,022,,,,,,,国立国会図書館施設費,,"8,638,018",0,0,0,"8,638,018"
,裁判官訴追委員会,,,,,,,,,,"133,372",0,△ 804,△ 804,"132,568"
,,031,,,,,,,裁判官訴追委員会,,"133,372",0,△ 804,△ 804,"132,568"
,,,95,012,2,11,1,03,,職員諸手当,"37,392",0,△ 12,△ 12,"37,380"
,,,95,012,2,11,1,05,,非常勤職員手当,"8,830",0,△ 792,△ 792,"8,038"
,,,95,012,2,12,9,06,,諸謝金外8目,"87,150",0,0,0,"87,150"
,裁判官弾劾裁判所,,,,,,,,,,"112,881",0,"△ 4,247","△ 4,247","108,634"
,,041,,,,,,,裁判官弾劾裁判所,,"112,881",0,"△ 4,247","△ 4,247","108,634"
,,,95,012,2,11,1,02,,職員基本給,"66,071",0,"△ 2,017","△ 2,017","64,054"
,,,95,012,2,11,1,03,,職員諸手当,"36,475",0,"△ 1,635","△ 1,635","34,840"
,,,95,089,2,11,1,05,,児童手当,780,0,△ 595,△ 595,185
,,,95,012,2,12,9,06,,諸謝金外7目,"9,555",0,0,0,"9,555"
裁判所,裁判所,,,,,,,,,,"325,574,308","2,316,289","△ 1,169,288","1,147,001","326,721,309"
,,001,,,,,,,最高裁判所,,"80,198,012","11,000","△ 1,074,713","△ 1,063,713","79,134,299"
,,,95,014,2,11,1,02,,職員基本給,"5,334,981",0,"△ 94,997","△ 94,997","5,239,984"
,,,95,014,2,11,1,05,,休職者給与,"526,237",0,"△ 73,209","△ 73,209","453,028"
,,,95,014,2,12,2,08,,職員旅費,"694,613",0,"△ 5,935","△ 5,935","688,678"
,,,95,014,2,12,3,09,,情報処理業務庁費,"585,337","11,000","△ 2,159","8,841","594,178"
,,,95,014,2,11,5,16,,国家公務員共済組合負担金,"33,407,607",0,"△ 898,413","△ 898,413","32,509,194"
,,,95,014,2,12,9,06,,諸謝金外31目,"39,649,237",0,0,0,"39,649,237"
,,002,,,,,,,下級裁判所,,"207,825,046","60,390","△ 1,066","59,324","207,884,370"
,,,95,014,2,12,2,08,,委員等旅費,"442,131",0,△ 295,△ 295,"441,836"
,,,95,014,2,12,3,09,,情報処理業務庁費,"117,295",0,△ 771,△ 771,"116,524"
,,,95,014,2,20,3,09,,法廷等器具整備費,"442,655","60,390",0,"60,390","503,045"
,,,95,014,2,12,9,06,,諸謝金外13目,"206,822,965",0,0,0,"206,822,965"
,,003,,,,,,,検察審査費,,"298,471",0,"△ 12,914","△ 12,914","285,557"
,,,95,014,2,12,2,08,,検察審査員旅費,"246,155",0,"△ 12,906","△ 12,906","233,249"
,,,95,014,2,12,3,09,,庁費,"48,208",0,△ 8,△ 8,"48,200"
,,,95,014,2,12,9,06,,諸謝金外4目,"4,108",0,0,0,"4,108"
,,004,,,,,,,裁判費,,"19,764,433","245,578","△ 80,595","164,983","19,929,416"
,,,95,014,2,12,3,09,,裁判庁費,"14,055,069","245,578","△ 80,595","164,983","14,220,052"
,,,95,014,2,12,9,06,,諸謝金外11目,"5,709,364",0,0,0,"5,709,364"
,,005,,,,,,,裁判所施設費,,"17,480,346","1,999,321",0,"1,999,321","19,479,667"
,,,95,014,1,20,2,08,,施設施工旅費,"92,021","8,073",0,"8,073","100,094"
,,,95,014,1,20,3,09,,施設施工庁費,"534,087","99,017",0,"99,017","633,104"
,,,95,014,1,20,4,15,,施設整備費,"16,513,228","1,892,231",0,"1,892,231","18,405,459"
,,,95,014,1,94,4,15,,不動産購入費,"341,010",0,0,0,"341,010"
,,009,,,,,,,裁判所予備経費,,"8,000",0,0,0,"8,000"
会計検査院,会計検査院,,,,,,,,,,"17,719,957",0,"△ 215,692","△ 215,692","17,504,265"
,,001,,,,,,,会計検査院,,"17,696,842",0,"△ 215,692","△ 215,692","17,481,150"
,,,95,016,2,11,1,02,,職員基本給,"6,218,624",0,"△ 80,348","△ 80,348","6,138,276"
,,,95,016,2,11,1,03,,職員諸手当,"3,358,085",0,"△ 64,697","△ 64,697","3,293,388"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"229,324",0,"△ 4,056","△ 4,056","225,268"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"1,659,694",0,"△ 66,591","△ 66,591","1,593,103"
,,,95,016,2,12,9,06,,諸謝金外34目,"6,231,115",0,0,0,"6,231,115"
,,002,,,,,,,会計検査院施設費,,"23,115",0,0,0,"23,115"
内閣,内閣官房,,,,,,,,,,"98,404,449","28,276,443","△ 328,181","27,948,262","126,352,711"
,,001,,,,,,,内閣官房共通費,,"34,624,113","9,515,177","△ 328,181","9,186,996","43,811,109"
,,,95,016,2,11,1,02,,職員基本給,"6,662,895",0,"△ 122,624","△ 122,624","6,540,271"
,,,95,016,2,11,1,03,,職員諸手当,"3,516,981",0,"△ 33,249","△ 33,249","3,483,732"
,,,95,016,2,11,1,05,,委員手当,"17,510",0,"△ 7,205","△ 7,205","10,305"
,,,95,016,2,11,1,05,,非常勤職員手当,"901,340",0,"△ 25,703","△ 25,703","875,637"
,,,95,016,2,11,1,05,,休職者給与,"16,926",0,"△ 8,463","△ 8,463","8,463"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"165,619",0,"△ 15,958","△ 15,958","149,661"
,,,95,089,2,11,1,05,,児童手当,"64,935",0,"△ 1,785","△ 1,785","63,150"
,,,95,016,2,12,9,06,,諸謝金,"1,186,438","345,531",0,"345,531","1,531,969"
,,,95,016,2,12,3,09,,情報処理業務庁費,"7,008,925","6,786,069",0,"6,786,069","13,794,994"
,,,95,016,2,12,5,14,,重要政策基礎調査委託費,"383,525","1,999,972",0,"1,999,972","2,383,497"
,,,95,016,2,12,5,14,,サイバーセキュリティ施策評価事務委託費,"202,900","383,605",0,"383,605","586,505"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"1,931,056",0,"△ 113,194","△ 113,194","1,817,862"
,,,95,016,2,12,2,08,,職員旅費外23目,"12,565,063",0,0,0,"12,565,063"
,,002,,,,,,,内閣官房施設費,,"1,705,428","2,790,951",0,"2,790,951","4,496,379"
,,,95,016,1,20,2,08,,施設施工旅費,949,0,0,0,949
,,,95,016,1,20,3,09,,施設施工庁費,"78,052",550,0,550,"78,602"
,,,95,016,1,20,4,15,,施設整備費,"1,626,427","2,790,401",0,"2,790,401","4,416,828"
,,003,,,,,,,情報収集衛星業務費,,"60,124,479","15,265,749",0,"15,265,749","75,390,228"
,,,95,016,2,12,5,14,,情報収集衛星システム開発等委託費,"45,261,518","15,265,749",0,"15,265,749","60,527,267"
,,,95,016,2,12,9,06,,諸謝金外6目,"14,862,961",0,0,0,"14,862,961"
,,004,,,,,,,情報収集衛星施設費,,"1,950,429","704,566",0,"704,566","2,654,995"
,,,95,016,1,20,4,15,,施設整備費,"1,715,597","704,566",0,"704,566","2,420,163"
,,,95,016,1,20,2,08,,施設施工旅費外1目,"234,832",0,0,0,"234,832"
,内閣法制局,,,,,,,,,,"1,099,748",0,"△ 20,835","△ 20,835","1,078,913"
,,011,,,,,,,内閣法制局,,"1,099,748",0,"△ 20,835","△ 20,835","1,078,913"
,,,95,016,2,11,1,02,,職員基本給,"478,505",0,"△ 12,481","△ 12,481","466,024"
,,,95,016,2,11,1,03,,職員諸手当,"273,828",0,"△ 3,333","△ 3,333","270,495"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"7,410",0,"△ 3,556","△ 3,556","3,854"
,,,95,089,2,11,1,05,,児童手当,"5,580",0,"△ 1,465","△ 1,465","4,115"
,,,95,016,2,12,9,06,,諸謝金外8目,"334,425",0,0,0,"334,425"
,人事院,,,,,,,,,,"12,314,592",0,"△ 286,850","△ 286,850","12,027,742"
,,021,,,,,,,人事院,,"12,276,187",0,"△ 286,850","△ 286,850","11,989,337"
,,,95,016,2,11,1,02,,職員基本給,"3,277,462",0,"△ 82,046","△ 82,046","3,195,416"
,,,95,016,2,11,1,03,,職員諸手当,"1,777,654",0,"△ 35,335","△ 35,335","1,742,319"
,,,95,016,2,11,1,05,,非常勤職員手当,"6,717",0,△ 36,△ 36,"6,681"
,,,95,016,2,11,1,05,,休職者給与,"14,929",0,"△ 8,167","△ 8,167","6,762"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"97,320",0,"△ 41,267","△ 41,267","56,053"
,,,95,016,2,11,1,05,,退職手当,"969,060",0,"△ 102,939","△ 102,939","866,121"
,,,95,089,2,11,1,05,,児童手当,"27,755",0,"△ 4,255","△ 4,255","23,500"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"878,893",0,"△ 12,805","△ 12,805","866,088"
,,,95,016,2,12,9,06,,諸謝金外24目,"5,226,397",0,0,0,"5,226,397"
,,022,,,,,,,人事院施設費,,"38,405",0,0,0,"38,405"
内閣府,内閣本府,,,,,,,,,,"635,753,755","38,590,600","△ 901,608","37,688,992","673,442,747"
,,001,,,,,,,内閣本府共通費,,"35,196,317","2,710,737","△ 241,679","2,469,058","37,665,375"
,,,95,016,2,11,1,02,,職員基本給,"6,495,073",0,"△ 59,851","△ 59,851","6,435,222"
,,,95,016,2,11,1,03,,職員諸手当,"3,483,636",0,"△ 43,434","△ 43,434","3,440,202"
,,,95,016,2,11,1,05,,委員手当,"200,258",0,"△ 15,498","△ 15,498","184,760"
,,,95,016,2,11,1,05,,非常勤職員手当,"697,400",0,"△ 35,384","△ 35,384","662,016"
,,,95,016,2,11,1,05,,休職者給与,"137,641",0,"△ 19,600","△ 19,600","118,041"
,,,95,016,2,11,1,05,,国際機関等派遣職員給与,"30,165",0,"△ 12,580","△ 12,580","17,585"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"251,144",0,"△ 48,449","△ 48,449","202,695"
,,,95,016,2,15,1,05,,公務災害補償費,"42,593",0,"△ 6,883","△ 6,883","35,710"
,,,95,016,2,12,3,09,,情報処理業務庁費,"3,140,427","114,977",0,"114,977","3,255,404"
,,,95,016,2,12,5,14,,社会保障・税番号制度システム開発等委託費,"4,131,762","2,595,760",0,"2,595,760","6,727,522"
,,,95,016,2,12,9,06,,諸謝金外30目,"16,586,218",0,0,0,"16,586,218"
,,002,,,,,,,内閣本府施設費,,"2,499,261","868,717",0,"868,717","3,367,978"
,,,95,016,1,20,2,08,,施設施工旅費,"3,471",52,0,52,"3,523"
,,,95,016,1,20,3,09,,施設施工庁費,"627,601",803,0,803,"628,404"
,,,95,016,1,20,4,15,,施設整備費,"1,868,189","67,862",0,"67,862","1,936,051"
,,,95,016,1,94,4,15,,不動産購入費,0,"800,000",0,"800,000","800,000"
,,003,,,,,,,公文書等管理政策費,,"51,673",0,0,0,"51,673"
,,004,,,,,,,独立行政法人国立公文書館運営費,,"2,044,380",0,0,0,"2,044,380"
,,059,,,,,,,独立行政法人国立公文書館施設整備費,,"56,861","83,562",0,"83,562","140,423"
,,,95,191,1,30,5,16,,独立行政法人国立公文書館施設整備費補助金,"56,861","83,562",0,"83,562","140,423"
,,005,,,,,,,政府広報費,,"8,349,339","2,949,795","△ 1,545","2,948,250","11,297,589"
,,,95,016,2,11,1,05,,非常勤職員手当,"6,779",0,"△ 1,545","△ 1,545","5,234"
,,,95,016,2,12,3,09,,啓発広報費,"7,651,953","2,949,795",0,"2,949,795","10,601,748"
,,,95,016,2,12,9,06,,諸謝金外3目,"690,607",0,0,0,"690,607"
,,050,,,,,,,アイヌ政策推進費,,"1,000,000",0,0,0,"1,000,000"
,,007,,,,,,,経済財政政策費,,"752,907","3,170,000","△ 3,368","3,166,632","3,919,539"
,,,95,016,2,11,1,05,,非常勤職員手当,"16,379",0,"△ 3,368","△ 3,368","13,011"
,,,95,016,2,81,5,16,,民間資金等活用事業調査費補助金,0,"170,000",0,"170,000","170,000"
,,,95,016,2,81,5,16,,地域就職氷河期世代支援加速化交付金,0,"3,000,000",0,"3,000,000","3,000,000"
,,,95,016,2,12,9,06,,諸謝金外11目,"736,528",0,0,0,"736,528"
,,009,,,,,,,地方創生支援費,,"1,318,641","1,130,000","△ 10,334","1,119,666","2,438,307"
,,,95,016,2,11,1,05,,非常勤職員手当,"57,731",0,"△ 10,334","△ 10,334","47,397"
,,,95,016,2,12,5,14,,地方創生支援委託費,"403,080","130,000",0,"130,000","533,080"
,,,95,016,2,81,5,16,,地方創生支援事業費補助金,"808,593","1,000,000",0,"1,000,000","1,808,593"
,,,95,016,2,12,9,06,,諸謝金外4目,"49,237",0,0,0,"49,237"
,,012,,,,,,,科学技術・イノベーション政策費,,"1,133,586","10,890,000",0,"10,890,000","12,023,586"
,,,95,016,2,12,5,14,,科学技術基礎調査等委託費,"851,481","890,000",0,"890,000","1,741,481"
,,,13,073,2,30,5,16,,革新的研究開発推進基金補助金,0,"10,000,000",0,"10,000,000","10,000,000"
,,,95,016,2,12,9,06,,諸謝金外8目,"282,105",0,0,0,"282,105"
,,196,,,,,,,科学技術イノベーション創造推進費,,"55,500,000","2,904,603","△ 559,547","2,345,056","57,845,056"
,,,13,073,2,12,9,99,,(科学技術イノベーション創造推進費),"55,500,000","2,904,603","△ 559,547","2,345,056","57,845,056"
,,006,,,,,,,遺棄化学兵器廃棄処理事業費,,"34,202,731",0,"△ 7,573","△ 7,573","34,195,158"
,,,95,199,2,11,1,05,,非常勤職員手当,"121,285",0,"△ 7,573","△ 7,573","113,712"
,,,95,199,2,12,9,06,,諸謝金外4目,"34,081,446",0,0,0,"34,081,446"
,,013,,,,,,,防災政策費,,"8,093,462","598,957","△ 3,578","595,379","8,688,841"
,,,95,016,2,11,1,05,,非常勤職員手当,"17,388",0,"△ 3,578","△ 3,578","13,810"
,,,95,016,2,12,3,09,,災害関係調査費,"1,676,341","542,747",0,"542,747","2,219,088"
,,,95,016,2,12,3,09,,中央防災通信維持費,"826,160","33,110",0,"33,110","859,270"
,,,95,016,2,20,4,15,,無線通信機器等整備費,0,"23,100",0,"23,100","23,100"
,,,95,016,2,12,2,08,,職員旅費外9目,"5,573,573",0,0,0,"5,573,573"
,,191,,,,,,,原子力災害対策費,,0,"4,874,757",0,"4,874,757","4,874,757"
,,,95,016,2,81,5,16,,原子力災害対策事業費補助金,0,"4,874,757",0,"4,874,757","4,874,757"
,,193,,,,,,,電源開発促進税財源原子力安全規制対策費エネルギー対策特別会計へ繰入,,"13,470,000",0,0,0,"13,470,000"
,,015,,,,,,,沖縄政策費,,"31,317,082","700,000",0,"700,000","32,017,082"
,,,13,073,2,30,5,16,,沖縄科学技術大学院大学学園補助金,"17,507,331","700,000",0,"700,000","18,207,331"
,,,95,016,2,12,9,06,,諸謝金外27目,"13,809,751",0,0,0,"13,809,751"
,,187,,,,,,,沖縄振興交付金事業推進費,,"109,333,000",0,0,0,"109,333,000"
,,055,,,,,,,沖縄振興特定事業推進費,,"3,000,000","500,000",0,"500,000","3,500,000"
,,,95,199,2,81,5,16,,沖縄振興特定事業推進費補助金,"3,000,000","500,000",0,"500,000","3,500,000"
,,188,,,,,,,沖縄北部連携促進特別振興事業費,,"3,450,000",0,0,0,"3,450,000"
,,189,,,,,,,沖縄振興推進調査費,,"50,000",0,0,0,"50,000"
,,022,,,,,,,沖縄教育振興事業費,,"7,996,300",0,0,0,"7,996,300"
,,023,,,,,,,沖縄保健衛生諸費,,"2,195",0,0,0,"2,195"
,,197,,,,,,,沖縄国立大学法人施設整備費,,"5,882,470",0,0,0,"5,882,470"
,,028,,,,,,,沖縄開発事業費,,"96,772,968","6,464,000",0,"6,464,000","103,236,968"
,,,43,052,1,20,4,00,,港湾改修費,"12,430,368","1,654,000",0,"1,654,000","14,084,368"
,,,44,052,1,20,4,00,,無電柱化推進事業費,"1,360,000","360,000",0,"360,000","1,720,000"
,,,45,052,1,20,4,00,,国営公園整備費,"895,000","800,000",0,"800,000","1,695,000"
,,,46,052,1,20,4,00,,かんがい排水事業費,"6,155,044","620,000",0,"620,000","6,775,044"
,,,46,052,1,20,4,00,,総合農地防災事業費,"34,819","2,000",0,"2,000","36,819"
,,,41,051,1,82,5,00,,治山事業費補助,"318,000","38,000",0,"38,000","356,000"
,,,42,052,1,82,5,00,,地域連携道路事業費補助,"2,772,000","180,000",0,"180,000","2,952,000"
,,,46,052,1,82,5,00,,農業生産基盤整備事業費補助,"6,157,086","2,208,000",0,"2,208,000","8,365,086"
,,,46,052,1,82,5,00,,水産基盤整備事業費補助,"3,047,369","450,000",0,"450,000","3,497,369"
,,,47,052,1,82,5,00,,防災・安全社会資本整備交付金,"4,422,000","152,000",0,"152,000","4,574,000"
,,,41,051,1,20,4,00,,国有林野内治山事業費外30目,"59,181,282",0,0,0,"59,181,282"
,,190,,,,,,,沖縄北部連携促進特別振興対策特定開発事業推進費,,"2,619,000",0,0,0,"2,619,000"
,,032,,,,,,,共生社会政策費,,"2,183,219","258,472","△ 1,796","256,676","2,439,895"
,,,95,016,2,11,1,05,,非常勤職員手当,"21,168",0,"△ 1,796","△ 1,796","19,372"
,,,95,016,2,81,5,16,,地域子供の未来応援交付金,"150,750","258,472",0,"258,472","409,222"
,,,95,016,2,12,9,06,,諸謝金外6目,"2,011,301",0,0,0,"2,011,301"
,,033,,,,,,,栄典行政費,,"2,716,641",0,0,0,"2,716,641"
,,034,,,,,,,男女共同参画社会形成促進費,,"701,961","150,000","△ 1,609","148,391","850,352"
,,,95,016,2,11,1,05,,非常勤職員手当,"19,035",0,"△ 1,609","△ 1,609","17,426"
,,,95,016,2,81,5,16,,地域女性活躍推進交付金,"150,000","150,000",0,"150,000","300,000"
,,,95,016,2,12,9,06,,諸謝金外5目,"532,926",0,0,0,"532,926"
,,038,,,,,,,食品安全政策費,,"322,162",0,△ 17,△ 17,"322,145"
,,,95,016,2,11,1,05,,委員手当,106,0,△ 17,△ 17,89
,,,95,016,2,12,9,06,,諸謝金外6目,"322,056",0,0,0,"322,056"
,,040,,,,,,,公益法人制度適正運営推進費,,"156,913",0,0,0,"156,913"
,,041,,,,,,,経済社会総合研究所,,"2,080,463",0,"△ 66,025","△ 66,025","2,014,438"
,,,13,073,2,20,1,02,,職員基本給,"743,907",0,"△ 29,887","△ 29,887","714,020"
,,,13,073,2,20,1,03,,職員諸手当,"389,829",0,"△ 17,950","△ 17,950","371,879"
,,,13,073,2,20,1,05,,非常勤職員手当,"23,686",0,△ 293,△ 293,"23,393"
,,,13,073,2,20,1,05,,短時間勤務職員給与,"42,301",0,"△ 17,140","△ 17,140","25,161"
,,,13,089,2,20,1,05,,児童手当,"4,455",0,△ 755,△ 755,"3,700"
,,,13,073,2,20,9,06,,諸謝金外9目,"876,285",0,0,0,"876,285"
,,042,,,,,,,迎賓施設運営費,,"2,148,624",0,0,0,"2,148,624"
,,200,,,,,,,プレミアム付商品券事業助成費,,"172,263,612",0,0,0,"172,263,612"
,,047,,,,,,,沖縄空港整備事業費自動車安全特別会計へ繰入,,"16,134,987","337,000","△ 4,537","332,463","16,467,450"
,,,43,052,1,92,6,00,,空港整備事業財源自動車安全特別会計へ繰入,"16,134,987","337,000","△ 4,537","332,463","16,467,450"
,,049,,,,,,,航空機燃料税財源沖縄空港整備事業費自動車安全特別会計へ繰入,,"12,953,000",0,0,0,"12,953,000"
,地方創生推進事務局,,,,,,,,,,"104,578,224","60,180,000","△ 11,930","60,168,070","164,746,294"
,,231,,,,,,,地方創生推進事務局,,"2,128,224","180,000","△ 11,930","168,070","2,296,294"
,,,95,016,2,11,1,02,,職員基本給,"37,777",0,"△ 4,395","△ 4,395","33,382"
,,,95,016,2,11,1,03,,職員諸手当,"20,089",0,"△ 3,432","△ 3,432","16,657"
,,,95,016,2,11,1,05,,委員手当,"1,983",0,△ 170,△ 170,"1,813"
,,,95,016,2,11,1,05,,非常勤職員手当,"32,453",0,"△ 3,603","△ 3,603","28,850"
,,,95,089,2,11,1,05,,児童手当,660,0,△ 330,△ 330,330
,,,95,016,2,12,5,14,,地方創生推進委託費,"926,892","150,000",0,"150,000","1,076,892"
,,,95,016,2,81,5,16,,都市再生推進調査費補助金,0,"30,000",0,"30,000","30,000"
,,,95,016,2,12,9,06,,諸謝金外8目,"1,108,370",0,0,0,"1,108,370"
,,232,,,,,,,総合特区推進調整費,,"200,000",0,0,0,"200,000"
,,233,,,,,,,地方創生推進費,,"62,509,000","57,000,000",0,"57,000,000","119,509,000"
,,,95,199,1,82,5,16,,地方創生拠点整備交付金,0,"57,000,000",0,"57,000,000","57,000,000"
,,,95,199,2,81,5,16,,地方創生推進交付金外1目,"62,509,000",0,0,0,"62,509,000"
,,234,,,,,,,地方創生基盤整備事業推進費,,"39,741,000","3,000,000",0,"3,000,000","42,741,000"
,,,48,052,1,82,5,00,,地方創生整備推進交付金,"39,741,000","3,000,000",0,"3,000,000","42,741,000"
,知的財産戦略推進事務局,,,,,,,,,,"171,839","300,000","△ 7,237","292,763","464,602"
,,241,,,,,,,知的財産戦略推進事務局,,"171,839","300,000","△ 7,237","292,763","464,602"
,,,95,016,2,11,1,02,,職員基本給,"20,957",0,"△ 2,941","△ 2,941","18,016"
,,,95,016,2,11,1,03,,職員諸手当,"11,360",0,"△ 2,831","△ 2,831","8,529"
,,,95,016,2,11,1,05,,委員手当,"4,065",0,△ 939,△ 939,"3,126"
,,,95,016,2,11,1,05,,非常勤職員手当,"27,813",0,△ 126,△ 126,"27,687"
,,,95,089,2,11,1,05,,児童手当,540,0,△ 400,△ 400,140
,,,95,016,2,12,9,06,,諸謝金,"30,605","300,000",0,"300,000","330,605"
,,,95,016,2,12,2,08,,職員旅費外3目,"76,499",0,0,0,"76,499"
,宇宙開発戦略推進事務局,,,,,,,,,,"27,120,808","11,126,110","△ 7,399","11,118,711","38,239,519"
,,251,,,,,,,宇宙開発戦略推進事務局,,"27,120,808","11,126,110","△ 7,399","11,118,711","38,239,519"
,,,95,016,2,11,1,02,,職員基本給,"92,112",0,"△ 1,576","△ 1,576","90,536"
,,,95,016,2,11,1,03,,職員諸手当,"52,695",0,△ 360,△ 360,"52,335"
,,,95,016,2,11,1,05,,委員手当,"10,007",0,"△ 1,662","△ 1,662","8,345"
,,,95,016,2,11,1,05,,非常勤職員手当,"72,566",0,"△ 3,321","△ 3,321","69,245"
,,,95,089,2,11,1,05,,児童手当,960,0,△ 480,△ 480,480
,,,95,016,2,12,5,14,,実用準天頂衛星システム開発等委託費,"18,258,868","11,126,110",0,"11,126,110","29,384,978"
,,,95,016,2,12,9,06,,諸謝金外9目,"8,633,600",0,0,0,"8,633,600"
,北方対策本部,,,,,,,,,,"1,688,562",0,"△ 6,459","△ 6,459","1,682,103"
,,061,,,,,,,北方対策本部,,"367,323",0,"△ 6,459","△ 6,459","360,864"
,,,95,016,2,11,1,02,,職員基本給,"69,976",0,"△ 3,166","△ 3,166","66,810"
,,,95,016,2,11,1,03,,職員諸手当,"38,775",0,△ 936,△ 936,"37,839"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"8,177",0,"△ 2,357","△ 2,357","5,820"
,,,95,016,2,12,9,06,,諸謝金外5目,"250,395",0,0,0,"250,395"
,,062,,,,,,,独立行政法人北方領土問題対策協会運営費,,"1,321,239",0,0,0,"1,321,239"
,子ども・子育て本部,,,,,,,,,,"2,285,266,930","16,474,667","△ 42,730,465","△ 26,255,798","2,259,011,132"
,,211,,,,,,,子ども・子育て本部,,"1,467,847","1,150,000","△ 15,926","1,134,074","2,601,921"
,,,95,016,2,11,1,02,,職員基本給,"141,723",0,"△ 9,351","△ 9,351","132,372"
,,,95,016,2,11,1,03,,職員諸手当,"75,816",0,"△ 4,881","△ 4,881","70,935"
,,,95,016,2,11,1,05,,委員手当,"6,738",0,△ 123,△ 123,"6,615"
