所管,組織,,,,,,,,                             項目,,"令和2年度
成立予算額(千円)",補正要求,,,"改令和2年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,資源エネルギー庁,,,,,,,,,,"615,973,492","262,995",0,"262,995","616,236,487"
,,081,,,,,,,資源エネルギー庁共通費,,"4,084,061",0,0,0,"4,084,061"
,,082,,,,,,,鉱物資源安定供給確保費,,"524,431","262,995",0,"262,995","787,426"
,,,95,062,2,40,5,16,,希少金属備蓄対策費補助金,"259,698","262,995",0,"262,995","522,693"
,,,95,062,2,12,5,14,,希少金属資源開発推進基盤整備委託費外1目,"264,733",0,0,0,"264,733"
,,083,,,,,,,独立行政法人石油天然ガス・金属鉱物資源機構運営費,,"3,800,000",0,0,0,"3,800,000"
,,084,,,,,,,石油石炭税財源燃料安定供給対策及エネルギー需給構造高度化対策費エネルギー対策特別会計へ繰入,,"450,565,000",0,0,0,"450,565,000"
,,085,,,,,,,電源開発促進税財源電源立地対策及電源利用対策費エネルギー対策特別会計へ繰入,,"135,290,056",0,0,0,"135,290,056"
,,086,,,,,,,電源立地対策費エネルギー対策特別会計へ繰入,,"21,709,944",0,0,0,"21,709,944"
,中小企業庁,,,,,,,,,,"92,388,739","4,436,979,173",0,"4,436,979,173","4,529,367,912"
,,101,,,,,,,中小企業庁共通費,,"2,365,013",0,0,0,"2,365,013"
,,102,,,,,,,経営革新・創業促進費,,"44,990,948","2,353,889,087",0,"2,353,889,087","2,398,880,035"
,,,60,062,2,95,9,06,,新型コロナウイルス感染症対策中小企業等持続化給付金,0,"2,240,000,000",0,"2,240,000,000","2,240,000,000"
,,,60,062,2,12,5,14,,中小企業経営支援等対策委託費,"13,713,133","83,965,954",0,"83,965,954","97,679,087"
,,,60,062,2,40,5,16,,中小企業経営支援等対策費補助金,"24,649,166","28,423,236",0,"28,423,236","53,072,402"
,,,60,062,2,40,5,16,,中小企業海外展開等支援事業費補助金,"996,000","1,499,897",0,"1,499,897","2,495,897"
,,,60,062,2,12,9,06,,諸謝金外4目,"5,632,649",0,0,0,"5,632,649"
,,103,,,,,,,独立行政法人中小企業基盤整備機構運営費,,"17,552,260","80,790,086",0,"80,790,086","98,342,346"
,,,60,062,2,30,5,16,,独立行政法人中小企業基盤整備機構一般勘定運営費交付金,"13,815,372","80,790,086",0,"80,790,086","94,605,458"
,,,60,062,2,40,5,16,,独立行政法人中小企業基盤整備機構小規模企業共済勘定運営費交付金外1目,"3,736,888",0,0,0,"3,736,888"
,,106,,,,,,,独立行政法人中小企業基盤整備機構出資,,0,"5,000,000",0,"5,000,000","5,000,000"
,,,60,062,1,95,9,24,,独立行政法人中小企業基盤整備機構出資金,0,"5,000,000",0,"5,000,000","5,000,000"
,,104,,,,,,,中小企業事業環境整備費,,"23,162,357","1,997,300,000",0,"1,997,300,000","2,020,462,357"
,,,60,062,2,92,5,16,,経営安定関連保証等基金補助金,"5,990,000","178,600,000",0,"178,600,000","184,590,000"
,,,60,062,2,40,5,16,,事業環境整備対策費補助金,"1,100,000","614,100,000",0,"614,100,000","615,200,000"
,,,60,062,2,30,5,16,,中小企業再生支援利子補給補助金,0,"796,800,000",0,"796,800,000","796,800,000"
,,,60,062,1,95,9,24,,株式会社日本政策金融公庫出資金,"200,000","398,000,000",0,"398,000,000","398,200,000"
,,,60,062,1,95,9,24,,危機対応円滑化業務出資金,0,"9,800,000",0,"9,800,000","9,800,000"
,,,60,062,2,12,3,09,,情報処理業務庁費外3目,"15,872,357",0,0,0,"15,872,357"
,,105,,,,,,,経営安定・取引適正化費,,"4,318,161",0,0,0,"4,318,161"
国土交通省,国土交通本省,,,,,,,,,,"6,202,344,348","18,176,604",0,"18,176,604","6,220,520,952"
,,001,,,,,,,国土交通本省共通費,,"128,417,461",0,0,0,"128,417,461"
,,002,,,,,,,国土交通本省施設費,,"292,547",0,0,0,"292,547"
,,003,,,,,,,住宅対策事業費,,"1,800,000",0,0,0,"1,800,000"
,,004,,,,,,,住宅対策諸費,,"40,126,755",0,0,0,"40,126,755"
,,005,,,,,,,住宅市場整備推進費,,"120,512,147",0,0,0,"120,512,147"
,,006,,,,,,,総合的バリアフリー推進費,,"39,601",0,0,0,"39,601"
,,008,,,,,,,海洋環境対策費,,"456,317",0,0,0,"456,317"
,,351,,,,,,,港湾環境整備事業費,,"1,258,022",0,0,0,"1,258,022"
,,010,,,,,,,道路環境等対策費,,"552,345",0,0,0,"552,345"
,,352,,,,,,,道路環境改善事業費,,"129,230,000",0,0,0,"129,230,000"
,,011,,,,,,,水資源対策費,,"113,142",0,0,0,"113,142"
,,012,,,,,,,水資源開発事業費,,"11,829,386",0,0,0,"11,829,386"
,,013,,,,,,,緑地環境対策費,,"160,000",0,0,0,"160,000"
,,014,,,,,,,国営公園等事業費,,"19,230,598",0,0,0,"19,230,598"
,,015,,,,,,,水環境対策費,,"200,123",0,0,0,"200,123"
,,016,,,,,,,都市水環境整備事業費,,"23,103,664",0,0,0,"23,103,664"
,,017,,,,,,,下水道事業費,,"5,126,007",0,0,0,"5,126,007"
,,018,,,,,,,地球温暖化防止等対策費,,"9,297,921",0,0,0,"9,297,921"
,,019,,,,,,,災害情報整備推進費,,"4,213",0,0,0,"4,213"
,,020,,,,,,,住宅・市街地防災対策費,,"156,707",0,0,0,"156,707"
,,021,,,,,,,市街地防災事業費,,"450,000",0,0,0,"450,000"
,,022,,,,,,,住宅防災事業費,,"113,703,000",0,0,0,"113,703,000"
,,023,,,,,,,都市公園防災事業費,,"2,737,000",0,0,0,"2,737,000"
,,024,,,,,,,下水道防災事業費,,"24,447,248",0,0,0,"24,447,248"
,,025,,,,,,,水害・土砂災害対策費,,"301,394",0,0,0,"301,394"
,,026,,,,,,,河川管理施設整備費,,"73,889",0,0,0,"73,889"
,,353,,,,,,,河川整備事業費,,"592,485,563",0,0,0,"592,485,563"
,,354,,,,,,,多目的ダム建設事業費,,"69,500,296",0,0,0,"69,500,296"
,,355,,,,,,,総合流域防災事業費,,"8,231,121",0,0,0,"8,231,121"
,,356,,,,,,,砂防事業費,,"137,837,210",0,0,0,"137,837,210"
,,027,,,,,,,急傾斜地崩壊対策等事業費,,"16,281",0,0,0,"16,281"
,,375,,,,,,,防災・減災対策等強化事業推進費,,"31,001,000",0,0,0,"31,001,000"
,,032,,,,,,,海岸事業費,,"28,928,673",0,0,0,"28,928,673"
,,033,,,,,,,公共交通等安全対策費,,"1,829,763",0,0,0,"1,829,763"
,,034,,,,,,,独立行政法人航空大学校運営費,,"2,636,620",0,0,0,"2,636,620"
,,036,,,,,,,鉄道安全対策事業費,,"5,567,000",0,0,0,"5,567,000"
,,037,,,,,,,道路交通安全対策費,,"313,576",0,0,0,"313,576"
,,357,,,,,,,道路交通安全対策事業費,,"894,079,000",0,0,0,"894,079,000"
,,038,,,,,,,総合的物流体系整備推進費,,"2,424,185",0,0,0,"2,424,185"
,,040,,,,,,,港湾事業費,,"217,936,564",0,0,0,"217,936,564"
,,358,,,,,,,エネルギー・鉄鋼港湾施設工事費,,"400,044",0,0,0,"400,044"
,,046,,,,,,,景観形成推進費,,"136,705",0,0,0,"136,705"
,,359,,,,,,,地域連携道路事業費,,"554,020,000",0,0,0,"554,020,000"
,,048,,,,,,,整備新幹線建設推進高度化等事業費,,"1,438,000",0,0,0,"1,438,000"
,,049,,,,,,,整備新幹線整備事業費,,"80,372,000",0,0,0,"80,372,000"
,,053,,,,,,,航空機燃料税財源空港整備事業費自動車安全特別会計へ繰入,,"25,892,226",0,0,0,"25,892,226"
,,054,,,,,,,航空機燃料税財源北海道空港整備事業費自動車安全特別会計へ繰入,,"11,019,000",0,0,0,"11,019,000"
,,055,,,,,,,航空機燃料税財源離島空港整備事業費自動車安全特別会計へ繰入,,"2,102,000",0,0,0,"2,102,000"
,,056,,,,,,,都市・地域づくり推進費,,"1,851,583",0,0,0,"1,851,583"
,,057,,,,,,,都市再生・地域再生整備事業費,,"101,109,755",0,0,0,"101,109,755"
,,058,,,,,,,鉄道網整備推進費,,"350,323",0,0,0,"350,323"
,,059,,,,,,,鉄道網整備事業費,,"20,415,000",0,0,0,"20,415,000"
,,060,,,,,,,地域公共交通維持・活性化推進費,,"21,093,120",0,0,0,"21,093,120"
,,096,,,,,,,独立行政法人鉄道建設・運輸施設整備支援機構運営費,,"263,857",0,0,0,"263,857"
,,061,,,,,,,都市・地域交通整備事業費,,"692,000",0,0,0,"692,000"
,,062,,,,,,,道路交通円滑化推進費,,"118,039",0,0,0,"118,039"
,,361,,,,,,,道路交通円滑化事業費,,"220,199,000",0,0,0,"220,199,000"
,,066,,,,,,,社会資本整備・管理効率化推進費,,"1,567,281",0,0,0,"1,567,281"
,,067,,,,,,,不動産市場整備等推進費,,"4,749,752",0,0,0,"4,749,752"
,,068,,,,,,,建設市場整備推進費,,"805,949",0,0,0,"805,949"
,,069,,,,,,,国土交通統計調査費,,"838,817",0,0,0,"838,817"
,,070,,,,,,,国土調査費,,"6,882,618",0,0,0,"6,882,618"
,,130,,,,,,,自動車運送業市場環境整備推進費,,"88,276",0,0,0,"88,276"
,,071,,,,,,,海事産業市場整備等推進費,,"1,158,827",0,0,0,"1,158,827"
,,074,,,,,,,独立行政法人海技教育機構運営費,,"7,093,246",0,0,0,"7,093,246"
,,076,,,,,,,国土形成推進費,,"525,734",0,0,0,"525,734"
,,280,,,,,,,社会資本総合整備事業費,,"1,680,540,000",0,0,0,"1,680,540,000"
,,282,,,,,,,官民連携基盤整備推進調査費,,"331,000",0,0,0,"331,000"
,,080,,,,,,,地理空間情報整備・活用推進費,,"96,749",0,0,0,"96,749"
,,081,,,,,,,離島振興費,,"4,980,534","399,500",0,"399,500","5,380,034"
,,,95,016,2,81,5,16,,小笠原諸島振興開発費補助金,"136,183","40,700",0,"40,700","176,883"
,,,95,199,2,81,5,16,,奄美群島振興交付金,"2,400,000","358,800",0,"358,800","2,758,800"
,,,95,016,2,12,9,06,,諸謝金外5目,"2,444,351",0,0,0,"2,444,351"
,,083,,,,,,,離島振興事業費,,"63,628,233",0,0,0,"63,628,233"
,,085,,,,,,,北海道総合開発推進費,,"1,772,594",0,0,0,"1,772,594"
,,086,,,,,,,北海道開発事業費,,"568,699,933",0,0,0,"568,699,933"
,,089,,,,,,,北海道特定特別総合開発事業推進費,,"4,325,000",0,0,0,"4,325,000"
,,091,,,,,,,技術研究開発推進費,,"2,786,584","9,600,237",0,"9,600,237","12,386,821"
,,,13,054,2,12,3,09,,技術研究開発調査費,"2,051,908","9,440,317",0,"9,440,317","11,492,225"
,,,13,054,2,12,5,14,,技術研究開発委託費,"432,986","49,968",0,"49,968","482,954"
,,,13,054,2,40,5,16,,技術研究開発費補助金,"140,000","50,000",0,"50,000","190,000"
,,,13,054,2,40,5,16,,鉄道技術開発費補助金,"145,140","59,952",0,"59,952","205,092"
,,,13,054,2,12,9,06,,諸謝金外2目,"16,550",0,0,0,"16,550"
,,092,,,,,,,国立研究開発法人土木研究所運営費,,"8,667,284",0,0,0,"8,667,284"
,,093,,,,,,,国立研究開発法人土木研究所施設整備費,,"492,990",0,0,0,"492,990"
,,094,,,,,,,国立研究開発法人建築研究所運営費,,"1,778,991",0,0,0,"1,778,991"
,,095,,,,,,,国立研究開発法人建築研究所施設整備費,,"334,725",0,0,0,"334,725"
,,099,,,,,,,国立研究開発法人海上・港湾・航空技術研究所運営費,,"5,193,097",0,0,0,"5,193,097"
,,367,,,,,,,独立行政法人自動車技術総合機構運営費,,"737,870",0,0,0,"737,870"
,,105,,,,,,,情報化推進費,,"3,093,075","8,176,867",0,"8,176,867","11,269,942"
,,,95,016,2,12,3,09,,情報処理業務庁費,"2,595,409","8,176,867",0,"8,176,867","10,772,276"
,,,95,016,2,12,9,06,,諸謝金外3目,"497,666",0,0,0,"497,666"
,,106,,,,,,,国際協力費,,"1,866,407",0,0,0,"1,866,407"
,,107,,,,,,,官庁施設保全等推進費,,"183,915",0,0,0,"183,915"
,,108,,,,,,,官庁営繕費,,"18,746,510",0,0,0,"18,746,510"
,,374,,,,,,,附帯・受託工事費,,"83,029,000",0,0,0,"83,029,000"
,,273,,,,,,,治水海岸事業調査諸費,,"146,337",0,0,0,"146,337"
,,272,,,,,,,水資源開発事業調査諸費,,"1,967",0,0,0,"1,967"
,,364,,,,,,,道路整備事業調査諸費,,"68,474",0,0,0,"68,474"
,,365,,,,,,,港湾事業調査諸費,,"77,203",0,0,0,"77,203"
,,275,,,,,,,都市開発事業調査諸費,,"24,245",0,0,0,"24,245"
,,366,,,,,,,都市水環境整備事業調査諸費,,"6,539",0,0,0,"6,539"
,,276,,,,,,,住宅建設事業調査諸費,,"98,245",0,0,0,"98,245"
,,277,,,,,,,国営公園等事業調査諸費,,"30,575",0,0,0,"30,575"
,,278,,,,,,,下水道事業調査諸費,,"85,745",0,0,0,"85,745"
,,109,,,,,,,河川等災害復旧事業費,,"40,324,953",0,0,0,"40,324,953"
,,285,,,,,,,住宅施設災害復旧事業費,,"101,000",0,0,0,"101,000"
,,368,,,,,,,鉄道施設災害復旧事業費,,"910,000",0,0,0,"910,000"
,,110,,,,,,,河川等災害関連事業費,,"13,267,129",0,0,0,"13,267,129"
,,369,,,,,,,自動車安全特別会計へ繰入,,"4,030,000",0,0,0,"4,030,000"
,,112,,,,,,,自動車重量税業務取扱費自動車安全特別会計へ繰入,,"279,954",0,0,0,"279,954"
,,113,,,,,,,北海道農業生産基盤整備事業費食料安定供給特別会計へ繰入,,"9,000",0,0,0,"9,000"
,,115,,,,,,,離島農業生産基盤整備事業費食料安定供給特別会計へ繰入,,"9,000",0,0,0,"9,000"
,観光庁,,,,,,,,,,"69,873,049","25,034,561",0,"25,034,561","94,907,610"
,,221,,,,,,,観光庁共通費,,"2,129,899",0,0,0,"2,129,899"
,,222,,,,,,,観光振興費,,"7,965,566","16,214,561",0,"16,214,561","24,180,127"
,,,95,016,2,12,2,08,,職員旅費,"23,829","5,513",0,"5,513","29,342"
,,,95,016,2,12,3,09,,外国人旅行者訪日促進対策庁費,"296,215","798,116",0,"798,116","1,094,331"
,,,95,016,2,12,3,09,,観光振興調査費,"2,097,696","11,067,090",0,"11,067,090","13,164,786"
,,,95,063,2,40,5,16,,訪日外国人旅行者受入環境整備緊急対策事業費補助金,"4,705,080","4,343,842",0,"4,343,842","9,048,922"
,,,95,016,2,12,9,06,,諸謝金外5目,"842,746",0,0,0,"842,746"
,,225,,,,,,,国際観光旅客税財源観光振興費,,"45,617,732",0,0,0,"45,617,732"
,,223,,,,,,,独立行政法人国際観光振興機構運営費,,"8,717,068","8,820,000",0,"8,820,000","17,537,068"
,,,95,062,2,30,5,16,,独立行政法人国際観光振興機構一般勘定運営費交付金,"8,717,068","8,820,000",0,"8,820,000","17,537,068"
,,226,,,,,,,国際観光旅客税財源独立行政法人国際観光振興機構運営費,,"5,442,784",0,0,0,"5,442,784"
環境省,環境本省,,,,,,,,,,"302,079,566","11,499,700",0,"11,499,700","313,579,266"
,,001,,,,,,,環境本省共通費,,"14,453,203",0,0,0,"14,453,203"
,,002,,,,,,,地球温暖化対策推進費,,"1,428,910",0,0,0,"1,428,910"
,,003,,,,,,,石油石炭税財源エネルギー需給構造高度化対策費エネルギー対策特別会計へ繰入,,"144,656,763","8,000,000",0,"8,000,000","152,656,763"
,,,63,051,2,30,6,22,,石油石炭税財源のエネルギー対策特別会計へ繰入,"144,656,763","8,000,000",0,"8,000,000","152,656,763"
,,021,,,,,,,地球環境保全等試験研究費,,"214,348",0,0,0,"214,348"
,,004,,,,,,,地球環境保全費,,"2,611,275",0,0,0,"2,611,275"
,,005,,,,,,,大気・水・土壌環境等保全費,,"9,098,863",0,0,0,"9,098,863"
,,006,,,,,,,廃棄物・リサイクル対策推進費,,"11,585,117",0,0,0,"11,585,117"
,,007,,,,,,,廃棄物処理施設整備費,,"41,965,318",0,0,0,"41,965,318"
,,008,,,,,,,生物多様性保全等推進費,,"8,492,719","3,000,000",0,"3,000,000","11,492,719"
,,,95,016,2,12,3,09,,環境保全調査費,"4,281,692","800,000",0,"800,000","5,081,692"
,,,95,051,2,71,5,16,,生物多様性保全推進交付金,"164,202","2,200,000",0,"2,200,000","2,364,202"
,,,95,016,2,12,9,06,,諸謝金外18目,"4,046,825",0,0,0,"4,046,825"
,,009,,,,,,,環境保全施設整備費,,"1,105,217",0,0,0,"1,105,217"
,,010,,,,,,,自然公園等事業費,,"9,205,020",0,0,0,"9,205,020"
,,011,,,,,,,化学物質対策推進費,,"2,262,810",0,0,0,"2,262,810"
,,012,,,,,,,環境保健対策推進費,,"14,294,203",0,0,0,"14,294,203"
,,013,,,,,,,自動車重量税財源公害健康被害補償費,,"7,201,000",0,0,0,"7,201,000"
,,014,,,,,,,環境・経済・社会の統合的向上費,,"754,219",0,0,0,"754,219"
,,015,,,,,,,環境政策基盤整備費,,"7,086,946","499,700",0,"499,700","7,586,646"
,,,95,016,2,12,3,09,,情報処理業務庁費,"2,220,116","499,700",0,"499,700","2,719,816"
,,,95,016,2,12,9,06,,諸謝金外12目,"4,866,830",0,0,0,"4,866,830"
,,016,,,,,,,環境調査研修所,,"1,307,212",0,0,0,"1,307,212"
,,017,,,,,,,環境調査研修所施設費,,"61,884",0,0,0,"61,884"
,,018,,,,,,,独立行政法人環境再生保全機構運営費,,"6,830,446",0,0,0,"6,830,446"
,,019,,,,,,,国立研究開発法人国立環境研究所運営費,,"16,306,940",0,0,0,"16,306,940"
,,020,,,,,,,国立研究開発法人国立環境研究所施設整備費,,"328,282",0,0,0,"328,282"
,,023,,,,,,,石綿健康被害救済事務費労働保険特別会計へ繰入,,"244,209",0,0,0,"244,209"
,,025,,,,,,,廃棄物処理施設整備事業調査諸費,,"4,682",0,0,0,"4,682"
,,024,,,,,,,自然公園等事業工事諸費,,"549,980",0,0,0,"549,980"
,,026,,,,,,,廃棄物処理施設災害復旧事業費,,"30,000",0,0,0,"30,000"
,原子力規制委員会,,,,,,,,,,"44,660,867","140,768",0,"140,768","44,801,635"
,,051,,,,,,,原子力規制委員会共通費,,"4,640,697",0,0,0,"4,640,697"
,,052,,,,,,,原子力安全確保費,,"4,842,557",0,0,0,"4,842,557"
,,054,,,,,,,放射能調査研究費,,"1,276,078",0,0,0,"1,276,078"
,,053,,,,,,,電源開発促進税財源電源利用対策及原子力安全規制対策費エネルギー対策特別会計へ繰入,,"33,901,535","140,768",0,"140,768","34,042,303"
,,,63,016,2,30,6,22,,電源開発促進税財源のエネルギー対策特別会計へ繰入,"33,901,535","140,768",0,"140,768","34,042,303"
防衛省,防衛本省,,,,,,,,,,"5,133,226,674","12,035,949",0,"12,035,949","5,145,262,623"
,,001,,,,,,,防衛本省共通費,,"716,962,190","119,938",0,"119,938","717,082,128"
,,,35,030,2,12,3,09,,庁費,"8,386,171","34,383",0,"34,383","8,420,554"
,,,35,030,2,12,3,09,,情報処理業務庁費,"4,220,048","16,712",0,"16,712","4,236,760"
,,,35,030,2,12,3,09,,電子計算機等借料,"5,237,088","62,461",0,"62,461","5,299,549"
,,,35,030,2,11,3,09,,被服費,"9,883,066","2,745",0,"2,745","9,885,811"
,,,35,030,2,12,3,09,,各所修繕,"9,707,099",594,0,594,"9,707,693"
,,,35,199,2,13,3,09,,自動車重量税,"50,790","3,043",0,"3,043","53,833"
,,,35,030,2,12,9,06,,諸謝金外35目,"679,477,928",0,0,0,"679,477,928"
,,002,,,,,,,防衛本省施設費,,"3,474,747",0,0,0,"3,474,747"
,,003,,,,,,,自衛官給与費,,"1,447,260,481",0,0,0,"1,447,260,481"
,,021,,,,,,,防衛力基盤強化推進費,,"764,993,287","8,213,713",0,"8,213,713","773,207,000"
,,,35,030,2,20,2,08,,施設施工旅費,"329,066","5,492",0,"5,492","334,558"
,,,35,030,2,20,3,09,,施設施工庁費,"6,236,816","65,779",0,"65,779","6,302,595"
,,,35,030,2,12,3,09,,営舎費,"75,748,371","783,296",0,"783,296","76,531,667"
,,,35,030,2,12,3,09,,医療費,"15,513,408","3,745,313",0,"3,745,313","19,258,721"
,,,35,030,2,20,4,15,,施設整備費,"116,282,468","3,613,833",0,"3,613,833","119,896,301"
,,,35,030,2,95,9,06,,即応予備自衛官勤続報奨金外42目,"550,883,158",0,0,0,"550,883,158"
,,004,,,,,,,武器車両等整備費,,"857,059,088","3,702,298",0,"3,702,298","860,761,386"
,,,35,030,2,20,3,09,,通信機器購入費,"118,344,427","7,022",0,"7,022","118,351,449"
,,,35,030,2,20,3,09,,車両購入費,"5,772,902","2,494,197",0,"2,494,197","8,267,099"
,,,35,030,2,20,3,09,,諸器材購入費,"52,576,842","1,038,363",0,"1,038,363","53,615,205"
,,,35,030,2,12,3,09,,諸器材等維持費,"60,775,358","162,716",0,"162,716","60,938,074"
,,,35,030,2,20,3,09,,武器購入費外6目,"619,589,559",0,0,0,"619,589,559"
,,005,,,,,,,艦船整備費,,"111,910,884",0,0,0,"111,910,884"
,,006,,,,,,,航空機整備費,,"768,831,568",0,0,0,"768,831,568"
,,016,,,,,,,平成28年度甲Ⅳ型警備艦建造費,,"22,037,837",0,0,0,"22,037,837"
,,017,,,,,,,平成28年度潜水艦建造費,,"15,335,254",0,0,0,"15,335,254"
,,007,,,,,,,平成29年度潜水艦建造費,,"13,741,039",0,0,0,"13,741,039"
,,008,,,,,,,平成30年度甲Ⅴ型警備艦建造費,,"41,731,105",0,0,0,"41,731,105"
,,009,,,,,,,平成30年度潜水艦建造費,,"18,353,241",0,0,0,"18,353,241"
,,010,,,,,,,令和元年度甲Ⅴ型警備艦建造費,,"9,484,721",0,0,0,"9,484,721"
,,011,,,,,,,令和元年度潜水艦建造費,,"1,720,176",0,0,0,"1,720,176"
,,012,,,,,,,令和2年度甲Ⅴ型警備艦建造費,,"1,412,796",0,0,0,"1,412,796"
,,013,,,,,,,令和2年度潜水艦建造費,,"172,845",0,0,0,"172,845"
,,018,,,,,,,在日米軍等駐留関連諸費,,"334,870,906",0,0,0,"334,870,906"
,,019,,,,,,,独立行政法人駐留軍等労働者労務管理機構運営費,,"3,339,048",0,0,0,"3,339,048"
,,020,,,,,,,安全保障協力推進費,,"535,461",0,0,0,"535,461"
,防衛装備庁,,,,,,,,,,"159,698,908","22,445",0,"22,445","159,721,353"
,,500,,,,,,,防衛装備庁共通費,,"18,820,276","22,445",0,"22,445","18,842,721"
,,,35,030,2,12,3,09,,情報処理業務庁費,"743,885","3,707",0,"3,707","747,592"
,,,35,030,2,12,3,09,,電子計算機等借料,"551,324","18,738",0,"18,738","570,062"
,,,35,030,2,12,9,06,,諸謝金外18目,"17,525,067",0,0,0,"17,525,067"
,,503,,,,,,,防衛装備庁施設費,,"61,490",0,0,0,"61,490"
,,550,,,,,,,防衛力基盤強化推進費,,"140,817,142",0,0,0,"140,817,142"
